component,explained_variance_ratio,cumulative_explained_variance
PC1,0.31216000240261854,0.31216000240261854
PC2,0.08983899247495916,0.40199899487757773
PC3,0.07911145028286948,0.4811104451604472
PC4,0.05460072436039576,0.535711169520843
PC5,0.05038806274297328,0.5860992322638162
PC6,0.041862749738246156,0.6279619820020623
PC7,0.030504296718865648,0.658466278720928
PC8,0.02841080574665593,0.6868770844675839
PC9,0.022340088499335477,0.7092171729669193
PC10,0.021161865800320413,0.7303790387672398
PC11,0.01897111522610682,0.7493501539933466
PC12,0.016680205936855482,0.7660303599302021
PC13,0.01377391717018827,0.7798042771003904
PC14,0.013498973790055315,0.7933032508904456
PC15,0.012777577157788326,0.806080828048234
PC16,0.012008578109025596,0.8180894061572596
PC17,0.01159114842358019,0.8296805545808398
PC18,0.009740775944239114,0.839421330525079
PC19,0.008859536164265235,0.8482808666893442
PC20,0.00851217142376323,0.8567930381131075
PC21,0.007691452421859851,0.8644844905349673
PC22,0.007537511181843258,0.8720220017168105
PC23,0.00722119099787677,0.8792431927146873
PC24,0.006480489132934629,0.885723681847622
PC25,0.005674170861241546,0.8913978527088635
PC26,0.005572527784249516,0.8969703804931131
PC27,0.0055563631910089326,0.902526743684122
PC28,0.0055166876997226055,0.9080434313838446
PC29,0.005285306021622927,0.9133287374054675
PC30,0.0051564920336275395,0.918485229439095
PC31,0.004994566627572254,0.9234797960666673
PC32,0.004679560225651772,0.928159356292319
PC33,0.004358298405319396,0.9325176546976385
PC34,0.00415920489286809,0.9366768595905066
PC35,0.004097382972683926,0.9407742425631905
PC36,0.003674049295923803,0.9444482918591144
PC37,0.003490713732386801,0.9479390055915012
PC38,0.0033499227750642623,0.9512889283665655
