component,explained_variance_ratio,cumulative_explained_variance
PC1,0.29595126853534554,0.29595126853534554
PC2,0.07976255250198429,0.3757138210373298
PC3,0.07782586300946517,0.453539684046795
PC4,0.06722412496391236,0.5207638090107074
PC5,0.04897697005032792,0.5697407790610354
PC6,0.03673975036665457,0.6064805294276899
PC7,0.035527820805921075,0.642008350233611
PC8,0.028203144277466324,0.6702114945110773
PC9,0.023066429282298555,0.6932779237933758
PC10,0.021361693154311346,0.7146396169476872
PC11,0.018565081336530363,0.7332046982842175
PC12,0.01717513613497189,0.7503798344191894
PC13,0.016533279069812865,0.7669131134890023
PC14,0.013567281204805888,0.7804803946938081
PC15,0.01292230675781349,0.7934027014516216
PC16,0.012795224716323885,0.8061979261679455
PC17,0.011434552514170993,0.8176324786821165
PC18,0.01029521208176116,0.8279276907638777
PC19,0.009661567205788675,0.8375892579696664
PC20,0.009250489125554213,0.8468397470952207
PC21,0.007912170720923137,0.8547519178161438
PC22,0.007376284200603546,0.8621282020167473
PC23,0.006967428522879948,0.8690956305396272
PC24,0.006747615218013602,0.8758432457576408
PC25,0.006567375312065556,0.8824106210697064
PC26,0.005918445425574587,0.888329066495281
PC27,0.005678666237703929,0.894007732732985
PC28,0.005582398954935519,0.8995901316879205
PC29,0.005433830436355772,0.9050239621242763
PC30,0.005247469477920738,0.910271431602197
PC31,0.004986124130443901,0.9152575557326409
PC32,0.004946553380134255,0.9202041091127752
PC33,0.0043923593207733525,0.9245964684335485
PC34,0.004170103569355,0.9287665720029035
PC35,0.004113625691478377,0.9328801976943818
PC36,0.003918324812700413,0.9367985225070822
PC37,0.0034631862741476577,0.9402617087812298
PC38,0.003380293236941956,0.9436420020181718
PC39,0.0032182344604068515,0.9468602364785786
PC40,0.0031449321651620594,0.9500051686437407
