component,explained_variance_ratio,cumulative_explained_variance
PC1,0.31376290935980944,0.31376290935980944
PC2,0.0920447069669568,0.4058076163267662
PC3,0.08439455676371425,0.4902021730904805
PC4,0.05496095319309605,0.5451631262835765
PC5,0.04398488760665962,0.5891480138902362
PC6,0.04291253145409538,0.6320605453443315
PC7,0.032647206915766634,0.6647077522600982
PC8,0.02880898013320363,0.6935167323933018
PC9,0.022707204708642206,0.716223937101944
PC10,0.021723360234918117,0.7379472973368622
PC11,0.018963231111391008,0.7569105284482531
PC12,0.01705418394162376,0.7739647123898769
PC13,0.013690940311323039,0.7876556527011999
PC14,0.013185492970913955,0.8008411456721138
PC15,0.012914536658745895,0.8137556823308597
PC16,0.012195493892127564,0.8259511762229873
PC17,0.01125276280513456,0.8372039390281218
PC18,0.01072532585220576,0.8479292648803276
PC19,0.008776728456678132,0.8567059933370057
PC20,0.008358800048511784,0.8650647933855174
PC21,0.00793417534162587,0.8729989687271433
PC22,0.007297480757087093,0.8802964494842305
PC23,0.006509226490412709,0.8868056759746432
PC24,0.006176076105761805,0.892981752080405
PC25,0.00583160060065904,0.898813352681064
PC26,0.005617795664823615,0.9044311483458876
PC27,0.005278448656892841,0.9097095970027804
PC28,0.005214877349240982,0.9149244743520214
PC29,0.005063125712495406,0.9199876000645169
PC30,0.004968728352820456,0.9249563284173373
PC31,0.004460707658868528,0.9294170360762058
PC32,0.004241177804339798,0.9336582138805456
PC33,0.003909774281153289,0.9375679881616988
PC34,0.003719825631849392,0.9412878137935482
PC35,0.0036206003948003485,0.9449084141883486
PC36,0.0035484079569171175,0.9484568221452657
PC37,0.00329733725266711,0.9517541593979328
