component,explained_variance_ratio,cumulative_explained_variance
PC1,0.3116362953525435,0.3116362953525435
PC2,0.0862366710610343,0.39787296641357783
PC3,0.08355237766192793,0.48142534407550575
PC4,0.0547951557236909,0.5362204997991966
PC5,0.047480657879705096,0.5837011576789017
PC6,0.04030029668631174,0.6240014543652135
PC7,0.036226070381999424,0.6602275247472129
PC8,0.028402856072871414,0.6886303808200843
PC9,0.023780779563737076,0.7124111603838214
PC10,0.021538921349662735,0.7339500817334841
PC11,0.01886981366611625,0.7528198953996004
PC12,0.01695339717084634,0.7697732925704467
PC13,0.013683241486371879,0.7834565340568186
PC14,0.013496959663245664,0.7969534937200643
PC15,0.012732641060784639,0.8096861347808489
PC16,0.011833148022734401,0.8215192828035833
PC17,0.010011816651481075,0.8315310994550644
PC18,0.009277412775998752,0.8408085122310632
PC19,0.008823058597439228,0.8496315708285025
PC20,0.008572387121476623,0.8582039579499792
PC21,0.00834191896131796,0.8665458769112971
PC22,0.007618091768614177,0.8741639686799113
PC23,0.007302741017144366,0.8814667096970557
PC24,0.0069230025452002575,0.8883897122422559
PC25,0.0061597824048127605,0.8945494946470687
PC26,0.005668955377156792,0.9002184500242255
PC27,0.005654286827622802,0.9058727368518483
PC28,0.005604317347829462,0.9114770541996778
PC29,0.005371627861320119,0.916848682060998
PC30,0.00520423761546936,0.9220529196764674
PC31,0.004869213114924053,0.9269221327913915
PC32,0.004560235543430599,0.931482368334822
PC33,0.004122827568310331,0.9356051959031323
PC34,0.003954042656914636,0.939559238560047
PC35,0.0037865787916197364,0.9433458173516667
PC36,0.003490721432611914,0.9468365387842785
PC37,0.0033459464326313776,0.95018248521691
