,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37
"Wind speed Sensor 2, Standard deviation (m/s)",0.08312976133906212,0.103406349719608,-0.00010360250804250341,-0.0037148330532416063,-0.09559932098415927,0.011152130683347885,-0.15514441377041388,-0.024918025199714058,-0.04407847912913182,-0.020244506318394723,0.07837825530279244,-0.02265761809013691,0.03825769394063973,-0.04146885492307055,-0.018642522744426307,-0.010891451288123476,-0.05826675082156352,-0.008651319221527579,-0.018884111767277056,0.04111155585660461,-0.06215015752557604,-0.013533302554615326,-0.03204482529977534,0.02491935840404312,-0.029800506099629177,0.0008793939585353449,-0.00927693869209274,-0.023960483613106626,0.04258760615906132,-0.01037071321559245,-0.11772621578965903,0.013887726987041521,0.08127000117581937,0.008085290556921726,-0.061386812025516185,0.0542949080286469,-0.07302262097216011
"Wind speed Sensor 2, Minimum (m/s)",0.1078819604164844,-0.05223382494264443,-0.04841975818469119,0.007983870300813989,0.0831519871579769,-0.021403459657681367,0.11766156967645902,0.011475714762059969,0.007386201959162175,0.0032046429847775136,0.0005746680552817796,0.0031630017695323913,-0.011164081999547049,0.024613177999510984,0.008574340155410143,0.005986201298648802,0.047120651381459155,0.006456122322406249,-0.01453078405205227,-0.023743239727326875,0.012410692535267071,0.013922939363878919,0.006478489655766778,-0.020445443010588774,0.017211866270446352,-0.0020249716370782994,0.007434749277416608,0.008302370311258217,-0.016963272496838898,0.00484180340075023,0.05930332282911825,-0.009718571395076397,-0.03580996503144234,-0.00816625327037672,0.001960501201964837,-0.036199114249475035,0.04913980626329048
"Wind speed Sensor 2, Maximum (m/s)",0.12643853769362476,0.029513277631275356,-0.03228039622901043,0.003337958115097517,-0.003904957779947125,-0.007839905409629422,-0.017609461469757393,-0.00855647678834058,-0.021049777885334797,-0.00974341864438133,0.04585270253157073,-0.011148732100992959,0.015114772632580764,-0.012364864763683718,-0.00664038243699723,-0.0032951708269002167,-0.006672930786576534,0.0009956113912649028,-0.02200403202416759,0.00971014743559026,-0.0313069844491595,0.00255006308670825,-0.015573088036565971,0.00817407177519297,-0.005996777822866992,3.3783333904252024e-05,-0.0011408460744712831,-0.007688665229967178,0.01555613339996939,-0.0032269678375446316,-0.035799296812465804,-3.415376625986316e-05,0.028774898236007717,-0.003187515407620134,-0.036025619693520666,0.016976762424237225,-0.012982831545477212
Density adjusted wind speed (m/s),0.12726061577756873,-0.011051549798580054,-0.0389242027886464,0.005340275724591753,0.04152395766636248,-0.01570505216863677,0.051263483781734676,0.0007507162334922449,-0.012123657771377527,-0.005215480866095093,0.04294614302461072,-0.008774912507552857,0.010109666213420687,0.0003609192236015517,-0.0034581047056609082,-0.0005197908868352676,0.016726786239087688,0.00947757543457942,-0.023366111474893182,0.006892578498111479,-0.008114234077905597,-0.0015291152903238875,-0.007149831223505432,0.007012509574357312,-0.0018166255139799165,-0.00028008180008045475,-0.00030687912814252646,0.002354203613856805,0.004239739270950053,-0.004127367076847507,-0.013929254425504689,0.013462128203983015,0.0029144929787615556,0.00631769251074236,-0.018902813222856987,0.00021383470653981026,0.0015246251009054662
Wind direction (°),0.011964721803141893,0.006621877028500971,-0.01867485380413552,0.0061356293950529705,0.00044960081066439247,0.35778698073134096,0.042916537207994286,0.08965705437906195,0.01773217583351777,-0.04071963567304415,-0.003825616020701375,0.0024938634992967,0.005566757325634275,0.00769990632982236,0.005739136210896764,0.004148238909133326,0.02848729408893877,-0.016688113021122747,-0.00491665279230874,0.01547059610534287,-0.025383464855065853,0.001037273352824668,-0.007370057477760025,0.003975107766785307,0.0070841242959348225,0.0010756036265156272,0.0024782771336438383,-0.011228763400979364,-0.00773089560610464,0.00959214059866581,-0.00870806408592048,-0.005565676161877309,-0.0030767937131949974,0.013596691447788509,-0.008651151900284787,0.006424663792599745,-0.027892596213632753
Nacelle position (°),0.0138416152162974,0.007311319332752097,-0.018407533237629087,0.006304746324326988,0.0011071328843857535,0.3646200126524312,0.04456842317542865,0.09464721414625321,0.015306460564020428,-0.04392403926301558,0.0029206544311996124,-0.0006500595614981897,0.013282884356415864,-0.012715015838528451,-0.005636961290439627,-0.0005208784504272621,0.013888853352371666,-0.017093925614600183,-0.002565207299570771,0.009030297345320543,-0.024286249406732213,0.018171804678638617,-0.00872427699992434,-0.002081645767788007,0.01210294012501912,0.0015438678529852083,0.0053661962625377166,-0.0052010186363727,-0.010386510461831939,-0.000760267860370048,-0.0017561495499598956,-0.007715396744795072,-0.0016304060192172051,0.029329609065849145,-0.015085858605091818,0.0033874018789337747,-0.02209272007361767
"Wind direction, Standard deviation (°)",-0.004591216010094593,0.11784499406156895,0.027799507020038472,-0.003759711773102424,-0.11901143064416539,0.020187641353649914,-0.17024439078843165,-0.05834429669436314,-0.014230810993578535,-0.001314331216283715,0.01635651046063158,-0.0040553090785726414,-0.005952920995486499,-0.028753578864736434,-0.007681074982580846,0.0003697375535789086,-0.005786388759615686,0.06634578985404836,-0.035320164343795396,0.14515176402719596,-0.06229452861596943,-0.06419235242278794,-0.026909840768401583,0.18485913657702616,0.11568876140086821,0.018875321365342847,0.018820182689906827,0.07027535541602484,-0.004296579156155056,0.0832661306012775,-0.003996749707193922,0.043780495403545776,0.02679671477298625,-0.07949126093074702,-0.0035637103933801595,0.21666897526750506,-0.08040835335454083
"Wind direction, Minimum (°)",0.01518290926427925,0.008073316500281013,-0.022449761361190212,0.006222055113904809,0.010536043841413378,0.3300871954945591,0.051326736861145986,0.07988667844374486,0.01388276493277131,-0.02655196547004442,-0.013140823079221917,0.0034637272818099363,0.0003864783684887074,-0.009267369328817289,-0.0009864389411053387,0.00878922060767752,7.42207848160592e-05,-0.013664318320894165,0.009339410765272005,0.0005667789120621103,-0.018103744657715873,0.016935452975096354,-0.011297795699275002,0.01899343100245772,-0.051349537105849136,-0.0010912650670429867,-0.010540385165700486,-0.008319350282030659,-0.0029193151823539362,-0.02584045479116273,-0.002914279053007063,-0.001130530024826354,-0.01920101108647855,0.02198835590940453,-0.02346098741921171,-0.02841262179173756,0.019850795359241453
"Wind direction, Maximum (°)",0.011233474489238391,0.015726993303137073,-0.014258919612085832,0.006320576829060392,-0.009504668088710777,0.34661145521708087,0.028538651738575577,0.08458640749228152,0.01730339402196783,-0.042765495278199506,0.0017451453096924835,0.0003498771871144474,0.003910576586259151,0.010309699143121475,0.005855510520392133,0.0018472393736172791,0.03319588092123506,-0.00971056780493619,-0.010103386919724927,0.03225843339713991,-0.024508193495798913,-0.012030156212602783,-0.008503822500983416,0.01170433531325523,0.025680883983585975,0.0022808342391044427,0.004924660998260185,-0.0011096357739256678,-0.007038274345775863,0.02313007482759409,-0.008023583638514853,-0.0011422416235710997,0.008169641339308177,-0.010336828554666229,0.0012769065344918895,0.03742877301420223,-0.035481514799523065
"Nacelle position, Standard deviation (°)",0.005298427987710531,0.05089917775422667,-0.0020920718466768667,-0.0022762151551752466,-0.016705043566687085,-0.0025510723685910302,-0.030420393245212538,0.01092226788858508,-0.06965504773906007,-0.02266711846465075,0.10647765770196722,-0.018013068408143762,0.043028245218261985,0.05051667525061788,0.02461368259105834,0.0158635409754815,0.048693480009786905,0.018786985044867782,-0.07073635724787375,0.17338530856159456,-0.05087285771880806,-0.12511865598902006,-0.017186957949960113,0.10703485892415127,0.287038011322642,0.04896119243223423,0.07483625560630534,0.06211141801241512,-0.07869176600238006,0.4789669966388838,0.6954817197437464,-0.035589745631861944,0.05756209545885869,0.05776577208594485,-0.09890942898552049,-0.037335214146280785,0.03413557627324165
