,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37
Wind speed (m/s),0.12877171686941832,-0.03098027355002956,0.041135166775925755,0.037297157444142824,0.0013757120670106545,-0.03180729076509784,0.02262293286725323,-0.01158457169337619,-0.007883378897000934,-0.00909364949475198,0.042671651386943,-0.005622677872089102,0.0012140103752803666,-0.0038238369665316635,0.010824715168770205,0.015133426611928258,-0.02241441023586865,0.008969839749187412,-0.0041806919874073966,0.015434429328213711,0.00316960884142849,0.00948803165303413,-0.009550020676341909,-2.73195767343442e-05,0.004545853556560062,0.0014490814217902328,-6.381756134991416e-05,-0.00010345100063535926,0.0040277289702453384,-0.006251948469307797,-0.0033725968052650125,-0.010822950998017201,0.00781555331958219,0.003820780177612915,0.016266909503768974,-0.014883401728051174,0.012428785571542299
"Wind speed, Standard deviation (m/s)",0.0793566902577213,0.0777443529230161,0.040120917280485155,-0.13411096349066293,0.007193169520461788,0.1286750776413032,-0.08992911977795795,-0.020813133477624063,-0.045963466384158866,-0.01734778548856916,0.058078570865975065,-0.014752003958126324,0.025131093958474123,-0.018666631497859354,-0.05441446843417773,-0.047968325873172575,-0.03754326385208106,-0.036060350803949134,-0.027612257727917013,0.02940678876715049,0.003189723313909855,0.021467398514450276,-0.02724974062171711,-0.01389949159831988,0.02625931829943065,0.029093510819268985,-0.002476988123959072,0.0061740646772943,0.05219099472930202,-0.09545127508313642,-0.057122562064233835,-0.0033779944425019783,-0.00947278698676,-0.04341278962463794,0.053300728918862644,-0.07400205724533164,0.008266785434497517
"Wind speed, Minimum (m/s)",0.10865813807233182,-0.06858738670336606,0.02994025754994134,0.09517281881700973,-0.001120043931751415,-0.08565104659933181,0.06123549401413564,-0.003069364139815872,0.010835538798475236,-0.002484329724721651,0.0188686867581902,0.0012555108157395467,-0.009124630794289181,0.0053242940124860316,0.031850148807538246,0.0406582871234845,-0.005736566385656339,0.023497089094774642,0.007367174185784156,0.00509540676083349,0.002956156988863776,0.0045532768775009246,-0.003146443534178686,0.013059739140455908,-0.013036844647082834,-0.013939384418213147,0.004350718040187314,-0.005081092350566132,-0.02304757135985657,0.04439953505034263,0.02754629123607323,-0.014581542587700978,0.015220216333722943,0.03201669475377622,-0.012036676738149218,0.025602559103420804,0.016994323654883205
"Wind speed, Maximum (m/s)",0.12805063656597587,-0.001050988406595732,0.04581441707569878,-0.014369947473784728,0.0029218628286267357,0.01725609233707398,-0.011457766230089095,-0.014574121747800317,-0.019204802992091874,-0.011167625884528423,0.04673283574655812,-0.008611446291245148,0.010374455761268353,-0.009059152838541348,-0.009298595156631992,-0.0024417499159337386,-0.02579372494781107,-0.0025835400882988913,-0.014035520206792319,0.021759787195403224,0.005800834348050225,0.019327836012700564,-0.01765156938685509,-0.00017468204332941802,0.004689540134461975,0.009111469008472348,0.000561962723044885,0.001508120095078899,0.017420039072995972,-0.03152422359001021,-0.018479038887838577,-0.0063846410895058575,-0.0003589792345668648,-0.013837092812799167,0.02880546039631303,-0.030839801139163237,0.009710623957384534
Long Term Wind (m/s),0.02671432171819132,-0.11369571883126983,-0.14995056169385013,-0.019314514406674754,0.009036056558564789,0.06410194556215479,0.005039544723740824,0.05561554370262328,0.08445005081702234,-0.025106348843828383,0.09091073460244575,0.0008698545809255748,-0.008393076798085588,0.015833573393030705,0.04536049219907004,-0.08817786920915052,-0.09899343900631422,-0.15627614960251557,0.09585736384938247,-0.08527698710408166,-0.14682026404309984,0.04830300158710238,0.05579582877008007,0.0075075562219438325,-0.17697281720919666,-0.0016992012031990765,0.013950848840101013,-0.010552259719538217,0.020012846909189398,-0.016676046481239513,-0.03366056174458727,0.017327165523799523,0.038534100562173865,-0.04878527690302961,0.02586760786645377,0.1683918324611246,-0.021895645258754898
Wind speed Sensor 1 (m/s),0.12887458155541434,-0.022675438185148167,0.04803066055188929,0.03255974808957812,0.0010832849916565315,-0.028804508393424855,0.021219807659128953,-0.012363305522484241,-0.009979748408805077,-0.007227557438223682,0.02833707296643395,-0.004426509616943904,0.0025554762767699205,-0.005276655018035321,0.012511849274729439,0.01872168979309581,-0.023263341037384866,0.005479300586891167,-0.006835905393902102,0.010829546875867846,0.005898973726863259,0.0008912261912426833,0.0003559294347556946,-0.01611669658698328,0.005067137739192172,-0.0036347678558839164,0.0014626508139085677,0.0017254932983679528,0.004239843202084363,0.0048502627601593185,-0.012266118485056068,-0.010164030804054688,0.01148500205181796,0.000557370761279305,0.014220504373411325,-0.00485138951202016,0.020319216830635978
"Wind speed Sensor 1, Standard deviation (m/s)",0.07690496643688323,0.08133931030917751,0.03964165078508386,-0.14252219996575097,0.00799257399150394,0.13567611358589893,-0.09637678331783878,-0.021945061962101622,-0.04930016257417391,-0.02079423276988121,0.06567769141555996,-0.01794922167768271,0.029050379074645392,-0.023228044482084167,-0.05275017200955688,-0.05476199116038856,-0.039684780203347314,-0.02990557129498307,-0.02524821588686668,0.03091002510696833,-0.0035284174612547937,0.023552132399328643,-0.023473268604397822,-0.018561018520850913,0.024877820553189836,0.0265246206052518,-0.002448390445953959,0.0064459132712812745,0.04718055030169034,-0.09381497169055583,-0.0537922901968885,-0.007344087524169221,-0.017238789900107798,-0.039363579742559746,0.058235970211127155,-0.08717827421896333,0.012526128965379732
"Wind speed Sensor 1, Minimum (m/s)",0.11161474928271099,-0.06028874496655995,0.03870648251934716,0.09123830778363629,-0.0013291701091593935,-0.0845069330664216,0.06161180066039884,-0.004178709987905198,0.008676348070760388,0.0005114610889603854,-0.0011622667326065539,0.0045145433596416595,-0.009282519171619168,0.005257195351939189,0.03283939043169834,0.04644932487331915,-0.005742867858415733,0.0183892886969954,0.0014632388162298805,-0.0028111135705470415,0.011352494141018226,-0.00914596953419,0.007866460048573321,-0.006376836046602594,-0.011828389883914596,-0.01820252533381155,0.003305140310942372,-0.0013308024295408008,-0.018841540209293035,0.05226449171869618,0.013717675620212779,-0.011854449971020906,0.022407141837912894,0.023861146691001228,-0.019660829135715152,0.042428005363779484,0.025368581806363408
"Wind speed Sensor 1, Maximum (m/s)",0.127866645844344,0.005188581422492747,0.05152126464225204,-0.01890507383053397,0.002985940781182729,0.020526622687984275,-0.013305314387592027,-0.014965300335271048,-0.02193444392599797,-0.01078163563853618,0.036303028550881605,-0.008241338207066691,0.01167881631391102,-0.011614500366151886,-0.00666412017358442,-0.0015807139192865471,-0.0269564334546063,-0.002391745259306466,-0.015666285739137822,0.01752737608651847,0.005914046042001138,0.0117201627499888,-0.007247970730618961,-0.01537141095300669,0.0046881877942262715,0.003974556709501682,0.0019760040763891376,0.0025206740221322002,0.015832597417694695,-0.022910211841112416,-0.025564605992231513,-0.00934426222807026,0.00213490897540036,-0.016522115740398108,0.028285126019834073,-0.026191731529652137,0.01744522775110366
Wind speed Sensor 2 (m/s),0.12872952452508188,-0.030931738518437276,0.04083746335439262,0.0355635773125236,0.00132769802365372,-0.029118593621398126,0.02034545409946631,-0.010678226597762963,-0.005106319821690769,-0.007355495003672983,0.03248964895967388,-0.00295831698691245,-0.00025355703933193285,-0.0016650135840171644,0.012978457600437997,0.018794427945092985,-0.022875002121161836,0.00833980685696463,-0.005473784315222788,0.008421991636673842,0.007371660477084374,-0.0029750856130008885,0.0030131594608793083,-0.016647135590094616,0.006824711069529074,-0.0025567608937407983,0.0018539274035858872,0.0014156177811212396,0.004151924382087682,0.0016739845981866425,-0.005730621474201107,-0.00907111685402466,0.011360894077359088,0.0016291951882205502,0.011428706152054519,-0.009258868549370775,0.013807501004780991
