,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40
"Wind speed Sensor 2, Standard deviation (m/s)",0.0811116208727539,0.07090562309915091,0.06861451535285562,0.0034034670998065453,-0.12467869727653795,0.1548593678220981,0.044911447211299665,-0.012712958834822458,-0.03746206816011588,-0.013743254611957356,-0.04901291150257869,-0.008032592068052031,-0.010294029821428146,-0.036400015773159156,0.03610665213607139,0.047935760367006454,-0.08387047943279871,-0.021859028096329558,0.04760220620707201,-0.002823160952371534,0.001986179227974054,-0.030554003299824026,-0.012093030714981655,0.002011080196346573,-0.015373455807491585,0.012736507055124427,0.09293987301650061,0.014673227972015035,-0.024948698983009696,-0.08309503036506766,-0.005260054888577656,-0.05664937101612329,0.04767886158477712,-0.026892517078909668,-0.0040112465898140826,-0.020868083929533238,-0.026233336297299445,-0.032567698530528225,-0.025067653770263845,0.03607624820716973
"Wind speed Sensor 2, Minimum (m/s)",0.10906720006284623,-0.0800876362002509,-0.0014573003329405153,-0.008044269765891565,0.08450347190756764,-0.09717421483310051,-0.03080782364059484,-0.007790420358734562,0.014745254455751852,-0.0010305910451489653,-0.012774612334070873,-0.006755351123772679,-0.003828300452296155,-0.0013142034529874391,-0.005858550788947849,-0.015556592699281085,0.053648598019468634,0.060756095407966226,-0.0011692592181207079,0.009167898060037018,-0.04731397820483819,0.013944880466822157,-0.022744700298146063,0.008546705623997265,0.015861048181183012,-0.006808186281064869,-0.030869905188190484,-0.011486843840495663,0.008960981666351838,0.05650664901493088,4.716695540368451e-05,0.04296601253228975,-0.031773198860560556,0.026555229351303014,0.01630718034971211,0.0112016056019448,-0.000548570065911802,0.01391160438002581,0.03384567051662564,0.0078124693050452484
"Wind speed Sensor 2, Maximum (m/s)",0.12879372504406095,-0.01287124668667004,0.041500530440240185,-0.003689798198992525,-0.017814804986645137,0.026740334105406105,0.0054671435891419096,-0.013849246076496569,-0.012291262054825725,-0.009175666173368152,-0.03807887375146078,-0.010417388379230397,-0.00944241731073402,-0.02230870011378877,0.018934927025816062,0.020113052904213308,-0.016689425870680008,0.028373226624749504,0.030638294981093883,0.004051581013235772,-0.029576565961935197,-0.00880254747572571,-0.026059894661313504,0.01031133922645374,0.0008481578531099668,0.001808604415679864,0.038882104012644844,1.0678522491411324e-05,-0.008780635128026968,-0.01876044237809725,-0.004597745502013542,-0.009513997264147277,0.014855069706478291,-5.381849967996816e-05,0.009599915079800942,-0.011377403086567744,-0.015163526901221712,-0.011957521874267674,0.011381343395031085,0.032224692752908915
Density adjusted wind speed (m/s),0.1299602444967176,-0.04536151572266621,0.018655502722512467,-0.0062410041550455195,0.03211585625566293,-0.031960549137140526,-0.010255323228581359,-0.013881513911464138,-0.0036336934577629876,-0.008212849419226259,-0.04574743627533717,-0.009758828649690104,-0.011215883643789646,-0.012334227939897857,0.01015401379128289,0.014364733861724911,0.0031753273926131143,0.047016365086275505,0.021336694045906775,0.0014427065190323399,-0.020551512914484926,-0.0014110668400735132,-0.03149699593132381,0.009077830976281301,-0.004996184028776093,0.0017212389278960308,0.01926642196917952,-0.006020476033440969,-0.0028942710051276885,0.0014440080233767,-0.0020677978542316885,0.005824339938909823,-0.004688453419223831,0.007568371963762303,0.01708826641786361,-0.0015488719665290793,-0.016152524226469112,0.005993287656114204,0.012865807606221542,0.018998188438007085
Wind direction (°),0.01344254649803659,-0.005682138259038217,0.004591842001530654,0.0006690618450220865,0.07955684219490115,-0.04197470779307297,0.3381453263668046,0.12327912242860398,0.0345397300900836,-0.0402287128736708,0.005795994914965415,0.012373277378901315,0.01836489445833747,0.036633068380304695,-0.005638073023117703,0.00513149812151514,0.006996314523299005,-0.04407225077252702,0.023496307589054993,0.010186913735551834,0.023107878843329738,0.008820256986447374,-0.0007125784310025723,-0.007439784328788487,0.0034860010929992705,-0.0058187501125211705,-0.007924971374161233,0.011364043653862232,0.0018412430726190507,-0.00455914521561138,0.0016435859292076652,-0.013082862353518465,-0.001781411787944026,0.007025060043778689,-0.002048828670773273,-0.02393872751808883,-0.02539257006351052,0.007343529344318554,-0.014448249274717677,-0.03941059028277757
Nacelle position (°),0.012786514248628724,-0.006232652123424487,0.002731709987205476,0.0008730191595712822,0.08219137239350713,-0.04687610348021099,0.3410572399988897,0.12423160120607082,0.03084222239117429,-0.04281267668913019,-0.004067983398403585,0.01110638850646549,0.011516784205722842,0.034637645038268716,-0.003008577530686757,0.02032137193887336,-0.01553931946432753,-0.0534758157286913,0.0030057488395749676,-0.0005276540819945247,0.0005700724056932616,0.014818699068097786,0.005767288933681423,-0.014340010478643523,0.017818997529953185,-0.007266291035115535,-0.011857576557985944,0.011860112428735803,0.0024623436722373327,0.0008577871622842369,0.0018049873850965112,-0.014565672251416056,0.0023154732332676398,0.008972593589543887,0.0026044604359387047,-0.017764345548857897,-0.02457864531769005,0.015211661542483615,-0.014508985332854525,-0.04421582117737559
"Wind direction, Standard deviation (°)",-0.007734723996834884,0.11799300747535899,0.05807495546118626,0.008403711835376637,-0.13565495017861284,0.15431901831868802,0.04395860133015174,-0.018741367255532132,-0.006426896665067183,0.014056460342082439,0.02022767665080441,-0.00987141134723335,-0.009593945934160263,0.02806565902806485,0.0072726124875909515,0.0476505694231764,-0.04871595041165813,0.0007996570276708193,0.05460396621864453,-0.012419690824928619,0.16175888690955376,-0.007424880750526518,-0.06305826174169593,0.0393465248031857,0.017975516427240615,-0.021872682926997275,0.008821242219454878,-0.06693942681428461,0.000465303271092796,0.012085630170123794,-0.014713525793134773,-0.034743589051893446,0.1131870428189835,-0.03129622903075355,0.02668707892304082,-0.10774368802368324,0.0016596206737510694,0.030117393889278053,0.03608751533167371,0.040388118254576166
"Wind direction, Minimum (°)",0.016903002013547806,-0.021204566306438744,0.01310979883681726,-0.0028358011463988407,0.0954132440288274,-0.06911174895980761,0.28011171066274615,0.09174971606422867,0.01687517152860535,-0.03110135916293777,-0.0006764875460899891,0.001995097233047971,0.0012407602803225226,-0.007761980148160166,0.01743586689625859,-0.008379821894489423,-0.005890985811206673,0.01559199942457503,0.014215494546027801,0.007230789169197463,-0.019485200005218917,0.004895130880076343,-0.0031140405698631864,-0.014991316633451261,-0.03546638028569632,0.017673075609414023,0.03494282500869421,0.0031045651241985994,-0.00624794404506748,-0.03533379303067138,-0.002341764413224409,-0.011109644469436672,0.003705672145644545,-0.025328220540903647,-0.05186855181342917,-0.05857313040325707,0.05942925962357026,-0.10627458119603157,0.01443541118233279,0.07668660725741805
"Wind direction, Maximum (°)",0.01170565966611495,0.006222210885248403,0.009140756361011054,-0.0006122526062339232,0.06517579599113613,-0.02848355555434749,0.3405013654120977,0.11821772742706503,0.03749326876934783,-0.03650317555578653,0.011154823611970455,0.001948292951884414,0.0038905303443111244,0.012708933338088452,0.01022292520363481,0.021233530860988302,-0.00891191914706263,0.01436406380614233,0.03483016046002309,0.01601754279308834,0.00947129296358773,0.002930161679324691,-0.027416940534906176,-0.0012978867903696706,-0.0065030372741393325,-0.0010394434546593632,0.00198814255481386,-0.01226796822862132,-0.0029892660536832523,0.0027759244330079584,-0.0011037123408118368,-0.00029068626059730596,0.020097654714726187,-0.010141554022938704,-0.00890800379942397,0.014940829595880015,0.0006210923061349405,0.012599110797590572,-0.028446678943223926,-0.011606109642831198
"Nacelle position, Standard deviation (°)",0.008442983335419853,0.0346938717708913,0.04853933505302466,0.002427562989288493,-0.030674442144406046,0.024781630987776214,0.027530746313798163,-0.012909094902404626,-0.049403003066559675,-0.024623725139001684,-0.09195254590228882,0.013811914863806951,0.004529987306308825,0.023792506722086278,-0.009937260681320476,-0.009688277039242854,0.03349324023117145,-0.013426659078948744,0.0907508238709555,0.004480468723643619,0.15690825575033301,-0.014152120490684159,-0.01570666843535816,0.016350966128402727,0.10666573844199909,-0.12554404269773511,-0.07212795977514153,-0.14561689320973573,0.07112925000414314,0.6931003203573328,-0.10512338412849435,0.1394363230898242,0.49948553304815935,-0.14368844744747383,0.06805109261533929,-0.15297291411501918,0.10976395189475596,0.0027604339274135137,-0.05171102861202125,0.09722544335291933
