,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37
Wind speed (m/s),0.12824289234736272,-0.01320349588515533,0.03965573710540176,0.048686717500973024,-0.029545227717886764,-0.010273587182294815,0.03189895199477959,-0.00844659247102995,-0.023865979569486055,-0.02251703307693749,-0.043575108831272566,0.0024976312604604073,0.005845117549094389,0.0024084483928616617,-0.008691917153513293,0.004258639846044537,0.001481898744575323,-0.023240772784659722,-0.00838746515267024,-0.0038006397746819047,-0.0019117913570228583,-0.0050965635997983665,0.010286149282506379,-0.008353604303711572,0.003003736450381676,0.0005752141551035366,0.0030442202120206764,0.004197521405209275,-0.008458258324828447,0.004970823767406381,0.021188327218142778,0.00497678604568825,0.0011210717591870602,0.0110170248552361,0.008899434667003093,0.00330964087863429,-0.010017036209888848
"Wind speed, Standard deviation (m/s)",0.07922964023414125,0.0916160207191894,0.017167074381955708,-0.13175664634424808,0.07783713313528969,0.029365789441282583,-0.12368860062561639,-0.03404138523446355,-0.05176852568805413,-0.03141124691458244,-0.04644966564201959,0.005687434264891684,0.012339807875384851,0.009699655619617654,-0.04389411369511109,0.015347545713111033,-0.06867304787523286,-0.02459039469950222,-0.059994444423134306,-0.013676435331509921,-0.03233278088276868,-0.018546539697767876,0.048951039033405586,-0.014410631038414437,-0.007309047867472121,0.010430063929191335,0.032049559332717116,0.03565372492106916,-0.10720165043240394,0.06756166478423545,0.0609852878639131,-0.015224147036900922,-0.008747213550235894,0.042825032205419666,-0.060711259084575135,-0.008032242008940595,-0.11325565120826991
"Wind speed, Minimum (m/s)",0.10768073976397798,-0.05462575118328636,0.03791932714417179,0.10520147242301325,-0.06177650442066285,-0.022476391540661403,0.08709898052005546,0.006580791157763069,-0.000574191521043238,-0.008463218608391707,-0.022042515329264906,0.0012477983568511004,-0.0002419800043779452,-0.002651764401643268,0.01280013471320747,-0.005660982174136758,0.03631271791209087,-0.015443331015268909,0.01482753924161586,-0.006297014400785052,0.01095524024750925,0.0008204312712616103,-0.004335322983981291,0.00048294536373670593,0.0021438776176367375,-0.0035915283695700747,-0.009963481143294196,-0.013896265866041948,0.04918598729929545,-0.02680572326797903,-0.008632729261048588,0.011936975919479113,0.005722213562580538,-0.015078318008917445,0.040683309248605484,0.0023900746142423825,0.05993810345457756
"Wind speed, Maximum (m/s)",0.12732193516413348,0.020647725613500756,0.03726223747267843,-0.011088976884389201,0.006492139045420203,0.0030646641302485844,-0.018490076346980133,-0.01707580374285017,-0.03072382491852757,-0.023495808854468725,-0.04134323753875668,0.0025999724396271635,0.008006905629825672,0.004738452641040506,-0.019332908383022193,0.007694616633639014,-0.019537641541865165,-0.026083275080920038,-0.028761783098852765,-0.014360319284099393,-0.014331295957992157,-0.010700493341910467,0.03267238254933423,-0.0150902558258812,-0.0003513622801327339,0.004079481456587046,0.014555898129514008,0.012853299034754186,-0.03731672782884918,0.024592010463481417,0.027579608560405963,-0.004355893334319001,-0.00026054064406159667,0.02122808160604232,-0.007813787464677468,0.0036810021341639396,-0.03600877521822832
Long Term Wind (m/s),0.028157367505330343,-0.138288625142442,-0.1187684130511345,-0.0443564248239986,0.05252060862490643,0.025673205241389753,-0.011990923050101104,0.04868130024857142,0.04257639078507866,-0.038438163530563646,-0.09352599554365987,0.00949700958545063,0.017904162317943784,-0.04544482399786459,0.04579237049062659,0.10335890689932875,-0.09831622444774818,-0.07358346853082012,-0.02984922170771187,0.1209782284247119,-0.11690528743270764,0.025253626188760002,-0.025472567499456845,0.017765966947017778,0.018959803848610592,-0.00804552728157044,-0.027147633281182294,0.05421443297528476,-0.047042178136742524,-0.0963884422466236,-0.13674879408156654,-0.1837625999025254,-0.052211670327036296,-0.22159713240549217,0.3234244884555428,-0.09963688758801784,-0.05611471082655008
Wind speed Sensor 1 (m/s),0.1283639228103485,-0.002145144104529595,0.044912944903108876,0.04322904211913517,-0.027387342180686114,-0.009961040753166492,0.029394865785832336,-0.010527773027371956,-0.024120315266071016,-0.018686105640220975,-0.03107911804013222,0.0008258294829797969,0.005189942375240175,0.0028104624762284,-0.008890133608117301,0.003855743904510746,0.006928818186203452,-0.02444735613866278,-0.006938686181022349,-0.00935854782558547,0.0029889541576522856,-0.007205130629116249,-0.010355380570730488,-0.008318263307176152,0.0040796273086855656,-0.0007095438745439147,0.0016879039142191875,0.004495131655123906,-0.006291850469274038,0.007226662202223476,0.010987504441659607,-0.00866063571044965,0.004100241808879719,0.012081168699530298,0.00774419550911043,0.0007733113809236039,-0.025153951617839676
"Wind speed Sensor 1, Standard deviation (m/s)",0.07443986198210016,0.09698352321585346,0.017022752441606337,-0.14375773223859556,0.08534366994979078,0.03322107353213517,-0.13129777267031378,-0.03499565183789406,-0.05374586921136562,-0.0346460700234241,-0.05059675182295695,0.00476635766358998,0.012260494808215398,0.010491301149891998,-0.046791408693119166,0.018311646909208796,-0.07086099084004638,-0.024579306945452822,-0.06215106512463554,-0.009607000150004787,-0.03400332780760107,-0.019743717222637618,0.049180199718629025,-0.01841966464595659,-0.007073462193993671,0.011317220359615025,0.03335761815181581,0.038897716431259395,-0.10174285580883173,0.0701028434609353,0.0680014292105676,-0.013660774915724108,-0.008125950025605353,0.05053696838223335,-0.06059445793007931,0.0012062182504627428,-0.11331445243494123
"Wind speed Sensor 1, Minimum (m/s)",0.11090801448761839,-0.04364873381969131,0.044159909045786996,0.10304356839674816,-0.06155608555206721,-0.02362977116586773,0.08583617944078531,0.0034749709767627965,-0.0004957236342544857,-0.001112022383951805,-0.005063403785525555,-0.0008183908237482038,-0.000924079812493768,-0.0025247233192795034,0.013114999159222124,-0.005711718302949068,0.040043535639397485,-0.016469211027224907,0.019618377758282013,-0.014269935554861203,0.017516253909650028,-0.002625147992710051,-0.03337760633392618,2.8192124655393447e-05,0.006468600769137526,-0.007672989722865387,-0.013837756979360728,-0.01340929856963791,0.04933800208222143,-0.025053258575896763,-0.022827549386332552,-0.006496700030082542,0.010094161110425121,-0.013472079902049502,0.03977025333000578,-0.003119269280427786,0.04114550083180531
"Wind speed Sensor 1, Maximum (m/s)",0.12684288342823832,0.029510973794081942,0.04181273285485907,-0.016761137660430525,0.009245059237904196,0.003616329796122336,-0.02159531953312044,-0.019214543811800905,-0.030899570360185424,-0.02046772564490043,-0.03237987156540806,0.001056486260801931,0.00804842506677797,0.005701057311044373,-0.0208882975685116,0.0074175201500515375,-0.01647054605936845,-0.02718399589767123,-0.02669372304131394,-0.01729228987478835,-0.010698223579717479,-0.0130136907242063,0.015135804568720573,-0.016156809456580094,0.0014121522603440535,0.0031443345608211967,0.012698478602305016,0.013676005812346178,-0.03297174814723497,0.026969156593459748,0.021261410754090902,-0.0161774477457902,0.001734290791202115,0.024492533034784002,-0.006331674788725868,0.004498896471763152,-0.048384450076389376
Wind speed Sensor 2 (m/s),0.12821150280050148,-0.01323865299336442,0.03928999103804946,0.0465890492038539,-0.027735780519276387,-0.009938960474767111,0.02950936994061687,-0.008275014175080149,-0.02039881647980374,-0.01959551111094046,-0.03629655814352267,0.0021916360914123515,0.004708878863937442,0.0007310573077672806,-0.005443525395104579,0.004477426197606917,0.004127710427077744,-0.022851312620079833,-0.0018237540990487244,-0.010251542978679869,0.005412043582320683,-0.00729618183174241,-0.016041157791481492,-0.005410696443196555,0.00267194782744562,-0.0006808463388789073,0.003341400618181986,0.006608904285940652,-0.0065161954663580796,0.006649565182386269,0.011991962946633322,-0.0039602327169671915,0.0031850988394286983,0.011176694516560698,0.005086149454142593,-0.0018965315586945098,-0.021493967895849064
