component,explained_variance_ratio,cumulative_explained_variance
PC1,0.31824828303571767,0.31824828303571767
PC2,0.0875902622635389,0.40583854529925656
PC3,0.0771366620875761,0.48297520738683264
PC4,0.057025522262340034,0.5400007296491727
PC5,0.047616312361050295,0.5876170420102229
PC6,0.03956001770478348,0.6271770597150064
PC7,0.03030034683698681,0.6574774065519932
PC8,0.02808340021375046,0.6855608067657436
PC9,0.026863198221537182,0.7124240049872808
PC10,0.02237817258328877,0.7348021775705695
PC11,0.02084107271188352,0.755643250282453
PC12,0.018514524204279816,0.7741577744867328
PC13,0.014972759175864884,0.7891305336625978
PC14,0.013529542666275917,0.8026600763288737
PC15,0.013135058160918672,0.8157951344897924
PC16,0.011103411624332723,0.826898546114125
PC17,0.011082716709077355,0.8379812628232024
PC18,0.010238363182578099,0.8482196260057805
PC19,0.008348857362256264,0.8565684833680367
PC20,0.007695058824355447,0.8642635421923921
PC21,0.007222722500159272,0.8714862646925514
PC22,0.007000471024074922,0.8784867357166264
PC23,0.006657156828009817,0.8851438925446362
PC24,0.006250936960091198,0.8913948295047274
PC25,0.005615476033607367,0.8970103055383347
PC26,0.005534281525670989,0.9025445870640058
PC27,0.005429182924373592,0.9079737699883793
PC28,0.005352712142909235,0.9133264821312885
PC29,0.005137876281050938,0.9184643584123394
PC30,0.005011127589664747,0.9234754860020041
PC31,0.004635659296002303,0.9281111452980064
PC32,0.004333960693759538,0.932445105991766
PC33,0.004179492583207472,0.9366245985749735
PC34,0.0037871229857178875,0.9404117215606914
PC35,0.0034568231987600084,0.9438685447594515
PC36,0.003366742346808976,0.9472352871062605
PC37,0.0031340565557101525,0.9503693436619707
