component,explained_variance_ratio,cumulative_explained_variance
PC1,0.34490582584057206,0.34490582584057206
PC2,0.10608732686775507,0.4509931527083271
PC3,0.08932650226102208,0.5403196549693492
PC4,0.06409407416608415,0.6044137291354333
PC5,0.04908728183833099,0.6535010109737643
PC6,0.03525383437718827,0.6887548453509527
PC7,0.029863796363519657,0.7186186417144723
PC8,0.024525574668676366,0.7431442163831486
PC9,0.020330449354348426,0.7634746657374971
PC10,0.01749017674078334,0.7809648424782805
PC11,0.016461731047629616,0.7974265735259101
PC12,0.014408158104163831,0.8118347316300739
PC13,0.013844298803095904,0.8256790304331698
PC14,0.013299129455639897,0.8389781598888097
PC15,0.011796593407011717,0.8507747532958214
PC16,0.010196098965286173,0.8609708522611076
PC17,0.009830893971656362,0.870801746232764
PC18,0.008958516903634459,0.8797602631363984
PC19,0.008107833104266778,0.8878680962406652
PC20,0.007460127730307665,0.8953282239709729
PC21,0.007097512044154185,0.9024257360151271
PC22,0.0068073776957686336,0.9092331137108958
PC23,0.006803054423100271,0.916036168133996
PC24,0.006273825172302437,0.9223099933062985
PC25,0.006069167128283111,0.9283791604345816
PC26,0.005812751361963128,0.9341919117965447
PC27,0.005255050388749564,0.9394469621852942
PC28,0.004890954483330267,0.9443379166686244
PC29,0.004186371305006898,0.9485242879736313
PC30,0.0034509514351543135,0.9519752394087856
