component,explained_variance_ratio,cumulative_explained_variance
PC1,0.3410296478046879,0.3410296478046879
PC2,0.101886637494512,0.4429162852991999
PC3,0.09382443141870171,0.5367407167179016
PC4,0.0634246502868353,0.6001653670047369
PC5,0.0453623391157367,0.6455277061204736
PC6,0.041336228846454756,0.6868639349669283
PC7,0.03006971280097516,0.7169336477679035
PC8,0.02541672981203991,0.7423503775799434
PC9,0.02071400071369869,0.763064378293642
PC10,0.018842784452691178,0.7819071627463332
PC11,0.016603429150789904,0.7985105918971231
PC12,0.015645074978093504,0.8141556668752167
PC13,0.014745684108526535,0.8289013509837432
PC14,0.013448554578410475,0.8423499055621536
PC15,0.012505389548624889,0.8548552951107785
PC16,0.010543057785069075,0.8653983528958475
PC17,0.009964202652614348,0.8753625555484619
PC18,0.009164866787190909,0.8845274223356527
PC19,0.008569100560413151,0.8930965228960659
PC20,0.007536808116234227,0.9006333310123001
PC21,0.006985062707706306,0.9076183937200064
PC22,0.006851543284842426,0.9144699370048488
PC23,0.0064800766561148955,0.9209500136609637
PC24,0.006339319050097489,0.9272893327110612
PC25,0.005638358439994753,0.9329276911510559
PC26,0.005387724941168574,0.9383154160922245
PC27,0.004584269996356626,0.9428996860885811
PC28,0.004409053927560985,0.9473087400161421
PC29,0.003993641725873555,0.9513023817420156
