,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29
Wind speed (m/s),0.1333299889266616,-0.00010095383065812646,-0.032730187394119356,0.03001681207847332,-0.02153052078751912,-0.03417348526787841,-0.007394918148281471,0.005584256585336059,-5.682532805459416e-05,-0.0007937304153493407,-0.008182317235238825,-0.06149876377272392,-0.020884246411171203,-0.0027731438489073165,-0.026073024610479018,0.020134618459672283,-0.013093929107780004,0.007625596128971988,0.001072315036400238,-0.011269438172589135,-0.0005226182631395615,7.136046444523476e-05,-0.005820387915386717,-0.0013060911356163156,-0.002619282394656588,0.021959558012601285,0.039793674966726096,0.017139091722700877,-0.009610105687262163
"Wind speed, Standard deviation (m/s)",0.09320626555382372,0.09801807170815799,0.016416043990615643,-0.0588936450555896,0.0705988872293736,0.18409816263172626,-0.034328831200969835,-0.011548032959182648,-0.010980399533045165,0.042381307976216594,0.005401878153308094,0.03526781986305075,-0.006339827792058832,-0.06101063899226453,0.03785248505124815,0.0020035886583504494,0.0023452146711151318,-0.017838285078099755,0.0017030221016082067,-0.04272950463512103,0.0038398618163223625,-0.0017655453511742707,-0.07261977735410673,-0.024908841527451632,-0.054609934235344444,0.13252137516506418,0.00565677712649347,-0.02367442480193285,-0.0876926571111087
"Wind speed, Minimum (m/s)",0.11407330765675401,-0.04463348252709067,-0.048050823801480624,0.06003333604259675,-0.053715451769656086,-0.12371069014069763,0.008322620819880264,0.01248365439089677,0.009013445719746906,-0.019753943172202568,-0.01384152724589243,-0.08807453272227456,-0.016741099767353315,0.03225826542997522,-0.039329837310617274,0.01964872942943429,-0.013915150683300494,0.011588928161568545,0.002890720352835465,0.005619583899208493,-0.002146180058371014,0.0028000858001312225,0.02558885386668748,0.0139236317879158,0.04182592588887571,-0.052842543874961234,0.04714126371018121,0.033976218385932136,0.056047069973069935
"Wind speed, Maximum (m/s)",0.1319099231503023,0.03246916740027955,-0.020306016992669873,0.001954608059963614,0.009299377478796694,0.03527493295192602,-0.016119424040552277,0.0005246628527099811,-0.0028624153764474866,0.013888221886441296,-0.0036888552255400914,-0.02946922911863059,-0.013058423051070828,-0.018732779081311542,-0.0012656780836558523,0.01177234031547661,-0.005898281059147817,-0.0074766634445104126,0.007204498765441102,-0.02651151506927795,-0.0009470800654809699,0.0011357514655086689,-0.02397061480081413,-0.009528385783512516,-0.009920527767523711,0.054940881028092414,0.029639767856710006,0.011357001693949827,-0.02898358379995858
Long Term Wind (m/s),0.02781893530130887,-0.1641507548976628,0.06932096318124126,-0.010476472984891183,0.08512602212516146,0.017146775929196056,-0.016070866475409805,-0.09943980600663026,0.06552439495880935,0.09826765492880264,0.010577718173530627,0.02746171698077543,0.019583428818557957,-0.0591751638309858,-0.11145553418994661,-0.035332749054514806,-0.005771968326303334,0.11601484297239087,0.0762456870037494,-0.0607424175817377,-0.0037404471935978305,0.002828033715725739,-0.0496568342280939,-0.06634515883372823,0.10560423326774591,-0.1005852373318756,-0.1647171427125425,-0.15221937707035094,0.009329769377040949
Wind speed Sensor 1 (m/s),0.13324478194439002,0.010128378669543997,-0.035756395142918396,0.02730461599796974,-0.02144908567847753,-0.03244008801083276,-0.006991629979663627,0.009147290445689488,-0.004130870606705213,-0.00536474415149364,-0.007803895025819272,-0.05939228265223754,-0.02230005673519803,-0.0009169261309421089,-0.023627828817574442,0.020701483228146203,-0.013460717184588689,0.007047372386782387,0.0035066363916812487,-0.01684355144898532,-0.0018221622683213304,0.0016208250677748,-0.004849755929822418,-0.004447733881478153,-7.991951597802541e-05,0.02149174188980993,0.036522171075311693,0.024728188191139283,-0.0060135677157967735
"Wind speed Sensor 1, Standard deviation (m/s)",0.09040452850725192,0.10089046565508758,0.01650058892437826,-0.06431105270214188,0.07412132610086192,0.2011186059758947,-0.03765491707082817,-0.012085654955311293,-0.012101767136425525,0.04482952437742828,0.006164920998925044,0.0356019583851519,-0.01475123158993144,-0.06949554863024386,0.031955360489187484,0.0066088866270857275,0.0007244461042761677,-0.016964059013614592,0.001262117975148979,-0.04038547517108981,0.00219870821072622,-0.002606893296530757,-0.06500951267851689,-0.021869128581607784,-0.06300238166690635,0.13856587680357074,-0.0011111676884602018,-0.026643867586930284,-0.0951825079517335
"Wind speed Sensor 1, Minimum (m/s)",0.11644607875046223,-0.032840311525830335,-0.05243858314427267,0.05916448900558201,-0.054838768403897786,-0.12696289841219532,0.010511117102675521,0.017989594227029948,0.0032231523012544085,-0.025693719487281566,-0.013329632444927368,-0.08552249800131896,-0.01527844908434163,0.03636964731619852,-0.03667267231637536,0.01872833312991032,-0.014147144356164959,0.010914118265155738,0.005670952588948068,-0.0035388124796238082,-0.004480323712990047,0.00709405085995339,0.024644289567258205,0.007631826404079938,0.04317149619946181,-0.04976711908188097,0.044064439452334084,0.04319563841838239,0.06198458253298847
"Wind speed Sensor 1, Maximum (m/s)",0.13159020693415524,0.039725508900777085,-0.023698585560117877,-0.0009029349909301376,0.009506159228791222,0.039178039942143056,-0.01643572622238576,0.0029732006168640968,-0.0071509351204077885,0.01086607872743988,-0.0038684644702348947,-0.02785145918612575,-0.017090726855424395,-0.019686795051981926,-0.0026766188779601685,0.014428050966752148,-0.007864235166890568,-0.007119653072827047,0.00870873322455444,-0.0298749152220453,-0.0035111215412429496,0.002090554229117584,-0.019548432380737772,-0.01047594847658714,-0.01199377025909383,0.057022440372596433,0.025266522365838623,0.01628670407350185,-0.02667140741356592
Wind speed Sensor 2 (m/s),0.1332887851141412,-0.00013587139333598452,-0.032703367570497625,0.02969602763434378,-0.02115549636012476,-0.03404562139898315,-0.007349594431804541,0.004757921997328753,0.00020552457779911574,-0.0012579026985075868,-0.007962775835762104,-0.06045016434596168,-0.02072935643931542,-0.0032131318888541857,-0.025410649830085064,0.019023506285467895,-0.012394618519739525,0.008098593445348787,0.00123935072676358,-0.01152582125858484,-0.0008287863391508391,0.000505615227542382,-0.005856504407563787,-0.0009833662933623338,-0.0010366508272440997,0.020543125681994984,0.03890381280630961,0.016573795890345383,-0.008843125350714014
"Wind speed Sensor 2, Standard deviation (m/s)",0.09330625132194072,0.09764025867120907,0.015359679599450466,-0.058971240762723275,0.06926128611841158,0.18542301001782147,-0.0351432593267853,-0.010955180554949207,-0.011250831400356091,0.04250902071959401,0.005604352560991038,0.03835826622938049,-0.004875020410543995,-0.06019239987907247,0.03196881076734914,0.004361759555010919,0.0010540870243221298,-0.018421973496353175,0.0026133551752462025,-0.03839159972584111,0.007491163201388733,-0.006595050558636133,-0.07422206848151888,-0.02423886494896954,-0.06018559950852889,0.14196124437894328,0.004043989086437438,-0.024545350901194224,-0.09485053557356479
"Wind speed Sensor 2, Minimum (m/s)",0.11381613403511476,-0.045083389243718346,-0.04836034384617107,0.06011572295631523,-0.05349735007541624,-0.123399530605284,0.008877163399852228,0.01229897865856966,0.008020584644358253,-0.019238817566036286,-0.012480627266937425,-0.0891248205638879,-0.01771563293884333,0.03095254208274637,-0.03496620252811883,0.01656555760413797,-0.012446362871517624,0.013976265325608188,0.0024351776058890136,0.0014276302792868845,-0.005898353332628407,0.007593033172753473,0.025254731659282367,0.01385160039870292,0.0460127126040517,-0.057820394143294186,0.05302911712313507,0.03306087962800683,0.06285012074422945
"Wind speed Sensor 2, Maximum (m/s)",0.13187971031500886,0.03237138602954797,-0.020662975884957004,0.0017007948862145777,0.008740795905425064,0.03586023456601296,-0.016156722600707385,-0.0005791008434995748,-0.003528617905298838,0.014054421668064442,-0.003885564102788258,-0.027250194849883932,-0.013619814216132953,-0.018925362237014867,-0.0029176337024713894,0.01260346738356663,-0.006265895791831538,-0.006488632272981076,0.007321792583309429,-0.025536005051947974,0.0003835282145973583,-0.00017374611245577474,-0.02457467416353787,-0.008867468513572202,-0.010192165106578346,0.0581546028609376,0.028684547513486133,0.00877517023770536,-0.02835966588737399
Density adjusted wind speed (m/s),0.13344095952410687,-0.004749930197291524,-0.031038320443205248,0.030719084461604814,-0.0202480842728745,-0.0336694779733961,-0.008382533647991075,0.003527355597567894,6.07966300091977e-05,0.002299618062771236,-0.008143206776090484,-0.060812244099398456,-0.020645296758646542,-0.003299098843477344,-0.026369014429586307,0.020064822086275663,-0.013081446988729872,0.007134441933448615,-0.00014772191176154947,-0.00968031440702187,-0.00040815529035392786,-8.390016336422019e-05,-0.005907405091024866,0.0006202817417077459,-0.0030227456468024244,0.02105349203280693,0.039700514961897276,0.015585520343107978,-0.011705623506942361
Wind direction (°),0.013550097850936227,0.032781767796785224,0.008163271784678558,-0.031626445787951325,0.3364429491887446,-0.12855199285309277,0.04781832086000254,0.031758990569793644,0.06376238908679784,0.0023659295023080937,0.0022508422085321944,-0.03680785610901026,0.001057434028269022,0.034694506406030425,0.00960432633411451,0.01762728014530396,-0.005490507414925017,0.009379436649495337,-0.00441856701923274,-0.015744016899396474,-0.001620342708712412,0.0025629444587837143,-0.0070091511190522315,-0.009259213035142072,0.003087835978429968,-0.004486778898551161,-0.00696381993401457,-0.006324262186384336,0.016460829698349742
Nacelle position (°),0.013906425149990062,0.03298739476830391,0.008938950678493509,-0.03140842117105137,0.34731469945082827,-0.13379761862462738,0.05069620997429612,0.03373570446343724,0.06661427493210906,-0.0017585398596310087,-0.0012486842821141098,-0.044404786613647,-0.022421764019704415,0.019399821447530923,0.0054034565113645905,0.02201229553077299,-0.007504876892070536,0.008192591061690402,0.0029689071874023087,-0.023587992956940695,-0.0035242960276236097,0.0042159832384191746,-0.0008985132372779925,-0.010812226683671045,0.004791765978094848,-0.0043984121137120025,-0.016055329070650715,0.0017178334114345412,0.030595164617974263
"Wind direction, Standard deviation (°)",0.0003880503804007689,0.1164708574266637,0.033375824341712546,-0.08948265227169014,0.09880663765484406,0.1891318543132568,-0.050254438604013775,-0.03031305243193703,-0.056300845147048195,0.0335323635621928,0.022404319981694842,0.13952937819085753,0.09051652978188372,0.022968123860409792,-0.043149307904013445,0.018382162792863088,-0.004676450409113381,-0.009562825147759094,0.025670233841885846,-0.11524377980021697,-0.02173522066994833,0.04140914679056881,0.20648880389730717,0.03545191128696693,-0.1435285303978746,0.10490452078223639,-0.12150687190967807,0.1921763615234277,-0.1529654540194476
"Wind direction, Minimum (°)",0.015583337953527331,0.033506327394991466,0.002429989463187131,-0.02205772980958925,0.3047869528195189,-0.12863996538331807,0.041287218357316864,0.02486950691157974,0.03748615937821306,-0.0010646070377210992,0.010011178111887786,-0.00022413676616647726,-0.009360791342033381,-0.0015734097155985088,0.032918072618768356,-0.002480420254152599,0.003753058020511471,-0.04115937283777327,0.016552711984542626,0.032547246239812755,0.004758812711787729,-0.015375858058057319,-0.04804874581619503,-0.013471227707601077,0.07110082569082428,-0.06460465029575141,0.06210095993136511,-0.0765501059646562,0.032458075900085585
"Wind direction, Maximum (°)",0.01349257674401452,0.035650207836539306,0.014045231227309057,-0.03812765505248911,0.316707950987764,-0.10505177496751902,0.04274047419598079,0.02593831898849296,0.06611127252998161,-0.0020264837086186316,-0.007219091941910116,-0.02891874806321476,0.014663276199488984,0.04461958374508638,-0.010978752882204235,0.02719951296801701,-0.007188062035633935,0.02999982497915058,-0.01971127094246676,-0.0355236919430853,-0.001612870926357297,0.008541944945527858,0.027355670170351815,0.0009370033866161684,-0.058623666374448,0.04714163007731159,-0.05188143278601204,0.0762572129656258,-0.036355557698593305
"Nacelle position, Standard deviation (°)",0.00844214551584964,0.051851388753504375,0.0024854652853426125,-0.025113409935673885,0.007029380957209741,0.08756388437414915,0.006601633653529462,0.039558658679368766,0.021481639955099108,0.01120892653482558,-0.016369670026131267,-0.09597820279649041,0.016799582153962815,0.04929631941172361,-0.07916032377016412,0.09668556371247694,-0.07846043875129294,0.16694340130234336,-0.11497297110278654,-0.4060654434652997,-0.07095503416739772,0.14620498900600812,0.5537057956797995,0.47929200094195035,0.30317036350075516,-0.043936793767995974,0.1373774671168111,-0.03690295915635952,-0.05995984534096224
"Nacelle position, Minimum (°)",0.013258775057177014,0.030067548199997875,0.00896672215091693,-0.030135844286478978,0.34319923051539836,-0.13839389272571898,0.04986680891367243,0.029426376880219655,0.06247021814214204,-0.0013608115363182571,2.2715782150961594e-05,-0.029567374294700965,-0.02178712986959036,0.010128058065071884,0.01481220140910916,0.011533599232826791,-0.0006340495643142666,-0.010884450583490649,0.013500019091277859,0.01364176683061491,0.0023931977296955762,-0.008784612797792168,-0.05238093897589315,-0.05063923560756846,-0.010733513811350258,-0.010393762280589705,-0.020787116552236043,-0.007082600618177034,0.04082820852980214
"Nacelle position, Maximum (°)",0.01426072261603203,0.035379083608279786,0.009629367126947676,-0.032629315811260225,0.3449480898399034,-0.12862995084980614,0.051054863626465295,0.035124021840667166,0.0685407574691741,-0.0011767376125472184,-0.002676636220428529,-0.050593210905803626,-0.021616481729469353,0.024552129475211737,-0.0005855998301585869,0.02773258366602399,-0.011495320650960372,0.02027308609016998,-0.004744856732958165,-0.047589632979139845,-0.0075718605617110255,0.013020588535023966,0.033547952450006024,0.01750505044560198,0.018968655026664297,-0.0043006234695204815,-0.009204009182991718,0.005927041133176242,0.023909932664787942
Vane position 1+2 (°),-0.0004186621984237661,0.013190470461092453,-0.01671570872092733,-0.008829368673901362,0.0028986707038927075,0.023920319366499052,-0.00101015500962359,0.00573452549146266,0.007824966670935213,0.055892398489937545,0.0054182245966641895,0.11855210272556085,0.4889501819060942,0.4602845616693126,-0.06960132342935385,-0.028323890156612422,0.01303068948135,-0.006915771920873982,-0.03670073536120821,-0.035371487083386055,-0.0016171426637290182,-0.011640105614242955,-0.09182915250322787,-0.010695252054346762,0.014551762500525825,-0.011464988252288089,0.005662374507512648,-0.014472884264687916,0.018889730093832033
Power (kW),0.13375418232342065,0.012169224485024612,0.021334713707953278,0.03990502550416577,-0.019413819109706184,-0.035335707257430404,-0.001986698995207698,0.025819963936458027,-0.01261195975932683,0.02575057715070478,-0.0033016958758773363,-0.02096248132135655,0.008485145517379764,0.01209397150332829,-0.04272933497646121,0.019683142152407462,-0.014684645919818495,0.011245746903582793,-0.01131096278987325,-0.00043169621526850666,0.0016887477098280704,-0.002227536639934218,-0.012535976343117677,-0.0012935263349881862,-0.024749975751732968,0.025329688023294113,0.009523254621654181,-0.012176906573514383,-0.005751892055237462
Potential power default PC (kW),0.13121147553221574,0.017321038832607726,0.02388170497594594,0.04714068117600159,-0.03291431078675621,-0.05473011580383597,0.0005742878806396341,0.02686321400315705,-0.006553440827703542,0.016626794792575783,-0.0050362355747535364,-0.04445302131391056,-0.016994960047828453,0.0021187391051613047,-0.050717080640095155,0.02798941232184257,-0.019454031644526748,0.02222133689267706,-0.013890601830336571,-0.004282607687693785,0.0018344355267935694,-0.0017685394135451332,-0.003499021824211336,0.0017539856500780222,-0.022352769694702353,0.03118998019634439,0.02235208511569861,-0.010399168105674941,0.002589474800326376
"Power, Standard deviation (kW)",0.1145403912020061,0.07951951518504491,0.024654918504449397,-0.02038109970103336,0.014242595463977862,0.13558287146247008,-0.0061321265847908615,0.03657568810610615,0.015146965739727925,0.018958562606713948,-0.012120395382811212,-0.0494828568576416,-0.00731314721103847,-0.009070395343036775,0.001437182655535274,0.028382169591158773,-0.020648132491857887,0.07582319759618322,-0.06602229977878026,-0.07026629036567994,0.003496558542441279,0.0016230368720797615,-0.1456286569471253,0.0037326215915850502,0.02466024160512748,0.07715631518946187,0.013807090857639936,-0.06088333286328988,0.07923079243928301
"Power, Minimum (kW)",0.12395800809294383,-0.03287673085631408,0.0077242473423450335,0.0649694672496805,-0.031717561755641645,-0.12013369469793937,0.008183039331279986,0.026825979541864376,-0.021357543512103668,0.020326646127244143,0.002125315090236151,0.0016150696706345937,0.015330219005889129,0.021608509501641004,-0.06070709133027963,0.005088378213230826,-0.006134123140035863,-0.03264340502137629,0.02091616496483807,0.03800967657163401,0.0005335445596295614,-0.00391708849489751,0.0717810373335325,-0.004378989936549449,-0.0538825470240931,-0.015483106246592021,-0.012942523335715606,0.015252387068053416,-0.061567955610869446
"Power, Maximum (kW)",0.13247881439622633,0.033163192522343024,0.012026210723891314,0.01315600388342965,-0.001949873262185467,0.04012052356922296,0.002915529170279055,0.04281305450835945,-0.0018912603106364535,0.018856926917198136,-0.004175516132936528,-0.020911539392885467,0.0033865778058059064,-0.00020478873079002313,-0.027402961138568244,0.017477142488664915,-0.01086405927241374,0.027575655393935583,-0.02773760175173086,-0.033589847113230195,0.001688458702266393,0.0003528813721602165,-0.05582263851402397,-0.0024769319963220404,-0.013732136630150896,0.04581364873090078,-0.004988360551295146,-0.021432514387674684,0.008823127500649175
