,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29
Wind speed (m/s),0.13514123559709426,-0.01440147434862225,0.03616272919839673,0.03568753219370266,-0.033602320295073526,0.03361777788825727,-0.010495414629210865,-0.004443762539544076,0.004124779804833898,0.021419583602857336,-0.0357620699173502,0.06488094271178274,-0.01360553786818929,0.005020905527822209,-0.012079835687951571,0.013035774888377835,-0.0010834693414335384,-0.015327126514278226,-0.014298706909860593,0.005703281173297768,-0.00395563695400566,0.006915475898756738,0.007267427857747732,-0.0006169978075032602,-0.038577637368740224,-0.004027912910490728,0.02682387862311471,-0.016249422923566927,-0.021755796783305047
"Wind speed, Standard deviation (m/s)",0.0840447547497628,0.09525397816302614,0.019383409267056215,-0.10524669074352126,0.10591221552008981,-0.16820724080042626,-0.013162511753572666,0.012454694187203427,0.004882151880910075,-0.026306436309541797,0.012041121988135936,-0.01953496649619143,-0.015353256150441912,-0.023114809101399222,-0.04423640418071513,0.02029366234550604,0.007619234469970889,-0.029196313202616717,-0.05374047274868851,-0.003611065660996471,-0.004930127176819925,-0.04083483475125972,0.043028239620203364,-0.012909718983524858,-0.15285099325674464,0.0014245764036794118,0.02786346771431974,-0.15184584396470688,-0.07755564692561631
"Wind speed, Minimum (m/s)",0.11331497892604221,-0.05752535584619911,0.033198237747351644,0.08139010926281937,-0.07809496026315965,0.10855628675239809,-0.005069993984616689,-0.010132727702656594,0.003679656932243553,0.03252653691320448,-0.041656887683310856,0.07409342473049885,-0.0018023575497164365,0.016993443693328326,0.012633435323002973,0.003468506820020676,-0.002709952578171767,0.000981360999784204,-0.0006946801881541169,0.011710805673495668,-0.0023189373186727593,0.02778180862486141,-0.014128367165334842,0.011261009498043857,0.036621237747656556,-0.007239758581126694,0.005394278650531919,0.07920925074758149,0.016598788546652667
"Wind speed, Maximum (m/s)",0.13440861323298448,0.020939660111725766,0.03535527225395074,-0.010492651791790597,0.012566194224957528,-0.031275986132375255,-0.011845635784565905,0.0016942047840285482,0.0034950403338535677,0.0023871438234318587,-0.01803662099039438,0.03355774880306034,-0.010851598125114825,-0.002962035555113228,-0.019043970400295304,0.014886982084709899,0.004157196962435454,-0.016431103028349714,-0.03660797313987415,0.008719874083297625,-0.005850532854925089,-0.0014168657196364336,0.015511534840282715,-0.00401621450179741,-0.07821737672584714,0.0001603868463089745,0.023417778634183442,-0.048056802458297805,-0.03373192255532682
Long Term Wind (m/s),0.02852466602904336,-0.1312045739717464,-0.12856016242881235,-0.023510247860493383,0.08044868757519524,-0.02766353345571329,0.024410837532667064,-0.09754506136517886,0.005037549415765664,-0.044014793263586,0.006240504710307765,0.0015688810416780719,0.003786888001765895,0.07687462564974372,-0.1319024799730923,0.0031044655293196305,-0.012382049110262671,-0.12786393487618153,0.041575252031587996,0.03809498042859144,-0.012234502274248722,-0.001284174576309846,0.02886770401299464,-0.04065834870915822,0.00997998428030128,-0.024209002363737433,0.036128579986258416,0.18918734383469515,0.19730368504423995
Wind speed Sensor 1 (m/s),0.13529301672152286,-0.0034467851362295354,0.04244170389945384,0.03159517517068683,-0.032679094454791835,0.03222929203592939,-0.01214581497150806,0.0030231527599739166,0.0029569175936348946,0.02209247253188376,-0.03301200519435094,0.060458066222765866,-0.01370597175550222,0.006263752336512846,-0.0063662043359572,0.014777469528748977,-0.0020290548258078247,-0.016492745308948453,-0.015377704756018087,0.009098291177203677,-0.0037093134012862426,0.012116606626035746,0.0041192872665386515,-0.002089209378873486,-0.04285159115962295,-0.0002500045433029563,0.02916103717056709,-0.00731528640664203,-0.0229782248647349
"Wind speed Sensor 1, Standard deviation (m/s)",0.07906570140794078,0.1009065369400235,0.019586087398843433,-0.1147948833597352,0.11677869859180798,-0.17946778393743568,-0.013917053332020979,0.010642128473077071,0.003850278141109803,-0.028218632242194133,0.011795419779688704,-0.02116108302530989,-0.017925383234583595,-0.022721857152255893,-0.04601426228901606,0.021332601078303842,0.005228075009439419,-0.03346220579758313,-0.050484771182293595,-0.004241781317558424,-0.003877866839874629,-0.03638555317633151,0.04661239116879795,-0.00856150231321192,-0.15823001269256265,0.007373089341366785,0.028557059126279316,-0.15731274515867155,-0.07340755851995166
"Wind speed Sensor 1, Minimum (m/s)",0.11672164811846417,-0.04676343829848305,0.040543508886024204,0.08018819680270478,-0.08111410463605095,0.10994404694364418,-0.0066479694109164815,0.0010442102565905095,0.0020417716254817163,0.03307197577712763,-0.038254703862627415,0.06897614214508724,-0.0027353532625070467,0.017158993864010232,0.016332819284289386,0.003709898036156252,-0.004350741707867402,-0.0002924016810999727,-0.001984210027940924,0.014183868107144119,-0.004003616990080048,0.034783939133858965,-0.017963580850106922,0.0061735842370015635,0.030258039305127632,-0.003710224405139479,0.006611345160095192,0.08888350794718818,0.011972757110757307
"Wind speed Sensor 1, Maximum (m/s)",0.13393992572774208,0.029750799995092423,0.04071832662562696,-0.01474805076665292,0.01453886995000675,-0.033968599864327764,-0.013436964831001319,0.007757077517308891,0.0020737919291805296,0.0019007831576635104,-0.0159246700003196,0.030570280410210232,-0.011707399448058611,-0.0035734046581902476,-0.01550339879760157,0.016508566799378968,0.0019534016957546496,-0.019455957742865404,-0.03596372040448391,0.011104624143618833,-0.005319386035356248,0.005022756777106584,0.01365201352974662,-0.0033503254176589967,-0.08416356416623705,0.005651999683305308,0.02609609295170124,-0.040089791839848496,-0.03060296453633533
Wind speed Sensor 2 (m/s),0.13508485315364369,-0.014521230326875096,0.03606092051758501,0.03514443541406566,-0.03347294245976529,0.0330674044582942,-0.010512649469556781,-0.0038179233697778897,0.004023139375255502,0.021381868861493042,-0.0354262893230798,0.06400887548625724,-0.014027735261959176,0.00516854278332244,-0.011879333275741949,0.012210990828952994,-0.0021737107438894628,-0.016637777488285488,-0.013902674849663177,0.00630965294556636,-0.003023215634232787,0.0071257008343067335,0.008338766934895991,-0.0012760526560200852,-0.03682979849900492,-0.00358421496579861,0.02629197327563082,-0.015090330375867059,-0.02145368583170841
