component,explained_variance_ratio,cumulative_explained_variance
PC1,0.34603482850192435,0.34603482850192435
PC2,0.10875425640350495,0.4547890849054293
PC3,0.09264723950288607,0.5474363244083154
PC4,0.06275082163667187,0.6101871460449872
PC5,0.04878614915029437,0.6589732951952816
PC6,0.03821888729407192,0.6971921824893536
PC7,0.03008413074693631,0.7272763132362898
PC8,0.022972360447959982,0.7502486736842499
PC9,0.020719143855373823,0.7709678175396237
PC10,0.018573159480046522,0.7895409770196703
PC11,0.016703200361681034,0.8062441773813513
PC12,0.01643042104222829,0.8226745984235796
PC13,0.014211643159642311,0.8368862415832219
PC14,0.013272854720032874,0.8501590963032548
PC15,0.012963888066638658,0.8631229843698934
PC16,0.01005112857958144,0.8731741129494749
PC17,0.009055324311663221,0.8822294372611381
PC18,0.008349623044881576,0.8905790603060197
PC19,0.007843748012182333,0.8984228083182021
PC20,0.007442144114806673,0.9058649524330088
PC21,0.006837527748176815,0.9127024801811856
PC22,0.006588297364749517,0.9192907775459351
PC23,0.006216677322720254,0.9255074548686554
PC24,0.00591656808447718,0.9314240229531325
PC25,0.005114341686030602,0.9365383646391632
PC26,0.004464871463775042,0.9410032361029382
PC27,0.004055026353288445,0.9450582624562267
PC28,0.003866317624183277,0.94892458008041
PC29,0.0035519806570406542,0.9524765607374507
