component,explained_variance_ratio,cumulative_explained_variance
PC1,0.33137542911276424,0.33137542911276424
PC2,0.09705775956051896,0.42843318867328317
PC3,0.09009461032407247,0.5185277989973557
PC4,0.058527988979407745,0.5770557879767634
PC5,0.04417916154978191,0.6212349495265452
PC6,0.04064930514907546,0.6618842546756207
PC7,0.030200859070776326,0.692085113746397
PC8,0.02560956777436462,0.7176946815207617
PC9,0.021079187542720965,0.7387738690634826
PC10,0.018523247146269187,0.7572971162097518
PC11,0.016533519543765487,0.7738306357535173
PC12,0.01639297140810022,0.7902236071616175
PC13,0.015867141116880736,0.8060907482784982
PC14,0.013687278014943297,0.8197780262934415
PC15,0.012613276380694207,0.8323913026741357
PC16,0.011354481013679535,0.8437457836878153
PC17,0.010348781649802644,0.854094565337618
PC18,0.009014041910001734,0.8631086072476197
PC19,0.008684070602225175,0.8717926778498449
PC20,0.00812341500334702,0.879916092853192
PC21,0.007563116666349189,0.8874792095195412
PC22,0.007251227073292672,0.8947304365928338
PC23,0.006788907288743681,0.9015193438815775
PC24,0.006771467558063556,0.9082908114396411
PC25,0.006474487969385469,0.9147652994090265
PC26,0.006291941504189012,0.9210572409132155
PC27,0.005424728557177335,0.9264819694703929
PC28,0.0051317786355257,0.9316137481059186
PC29,0.004724540533730682,0.9363382886396493
PC30,0.004397804119230455,0.9407360927588797
PC31,0.003910771220722944,0.9446468639796026
PC32,0.0035047265870298563,0.9481515905666325
PC33,0.0034003195087284233,0.9515519100753609
