,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29
"Wind speed Sensor 2, Standard deviation (m/s)",0.08834906062124918,0.10422381313906967,0.015035183455711018,-0.08375832054739069,-0.025253474807904408,0.19363551108986032,-0.034162111369376,-0.030811586652927714,-0.01609644356842352,0.036260965289808475,-0.0016294334941907226,-0.0025372787545729636,-0.010367947578466749,-0.04186025251085036,0.01308276890760833,0.017914752378682394,0.007913082650672927,-0.006653660686928103,-0.06772963794954472,-0.011397982989704541,0.03117887219426148,0.017158322257279493,-0.05392122142569619,-0.016505323058901636,-0.05155896298820937,0.13982211169918815,0.009919949026935618,0.030704853479704308,-0.2107676873294312
"Wind speed Sensor 2, Minimum (m/s)",0.11367592730002721,-0.06091201021071356,0.03623383819056691,0.07156316436904236,0.004098902928323711,-0.1360470820832276,0.008885901302394528,0.028668679946472653,0.020964805081396864,-0.05820390102914652,0.01554297781918998,-0.053393745065704115,-0.010860056650850658,0.0030897067479652707,-0.018744774910251782,0.0002866900590345334,-0.008668076511058047,0.0067560149750207285,0.01852118318273365,-0.015382669179301572,0.0003005700667554449,-0.00031395057099925256,0.023478658910192407,0.007357602880481316,0.02935758067947658,-0.05410574278491784,-0.0057641318364264615,-0.0723994276882024,0.09651367506056632
"Wind speed Sensor 2, Maximum (m/s)",0.13369204504996532,0.02420097975848204,0.03333694788918112,-0.004088649083393176,-0.013379698223935914,0.028397688642474345,-0.015445068664843686,-0.0007291277856516232,0.0009303552418917227,-0.012986989736448407,0.00840983574975463,-0.033212441879869437,-0.013528315270226354,-0.024011575547661854,-0.004630675853927513,0.011930689013011031,0.00020755166731264985,0.004851102766868731,-0.028819847371931412,-0.02160599605656066,0.019701189498262883,0.010734323025842402,-0.015624486757111682,-0.006046753993070662,-0.012421721552379087,0.056212921190677834,0.0063047787813760095,-0.02397292750272123,-0.07248717470601149
Density adjusted wind speed (m/s),0.13430231756062483,-0.017487978396307658,0.03287767290608996,0.034214293668103544,-0.005921844829344734,-0.04874566017818186,-0.0053800320261988,0.012636459710015313,0.011363512129745013,-0.038924117702387795,0.014353118730302046,-0.05335740464516965,-0.016412204745800768,-0.016507370411592115,-0.01970535868796547,0.010922854202841795,-0.00516841035368786,-0.004630815986833344,-0.009698476406178547,-0.014615598273181818,0.00921130054807083,0.004254663003028028,-0.0023851798464361376,-0.0017650714737180578,-0.00432247550438921,0.021276065832953633,0.004758886581999744,-0.03299295504091747,-0.030021187581634995
Wind direction (°),0.012754201743149153,0.007044779627471846,0.02136884256786501,0.0036512272235739687,0.37280856777893256,0.029818531752858306,0.00758064128270397,-0.005985655355437491,0.03502091589645543,0.004469864059220396,0.0037563381623787126,-0.008251186260089194,0.016176704544828224,0.023469055282587185,0.010905883710911723,0.01046580738729469,0.002536986074977071,-0.0015603651517688,-0.011429688429830664,-0.008598511651286441,0.005823390292062511,0.0018333396040021723,0.0011726124480427957,-0.008371086513383409,0.011582859368721343,0.0062368412944467655,0.004990339982173443,0.0060741846041098835,0.018662975355564076
Nacelle position (°),0.01474387402357389,0.007959304361076993,0.021247576046117482,0.0037954483058823133,0.38058171935718965,0.03266121292334566,0.0069758101913222625,-0.0034048308689651474,0.034757618681677094,0.00899768710777124,0.006412320479887719,-0.007417840773140734,-0.014777951253186566,0.004965733527510036,0.010139342956393127,0.019359453800791127,0.00036403953574351555,0.004732352329145387,-0.007531615307664913,-0.014740594359224896,0.007787136641860898,0.0026530996551944325,0.005845294527133574,-0.018095532865869502,0.010250358654410808,0.0005007813033256134,-0.00464760402834054,-0.008504310764401612,0.002218015369150672
"Wind direction, Standard deviation (°)",-0.004163531835156342,0.12280749049816615,-0.007884445137388212,-0.10297267874093355,-0.0229551368458379,0.19460499835637948,-0.04210582781629535,-0.0660642047991995,-0.07538833088079366,0.07335523898873025,-0.01899497871349661,0.04670984582862758,0.09621176322648825,0.06431421507625029,-0.04919649382400604,0.0425259330230392,0.01832473160874136,-0.010190950780067995,-0.021684390419799623,-0.1188830760962894,-0.01106356791127977,-0.009702204867974892,0.18755563793495464,0.08353495067096306,-0.010691586826496333,0.12075864460280103,0.16776560755421643,0.1076772751827543,0.010616484018360767
"Wind direction, Minimum (°)",0.01614084473047417,0.008074691343466887,0.025644678168909852,0.011763269508243274,0.3449504854286096,0.012965603505483736,0.008154795403665961,0.003245990602089622,0.017334296597597304,0.01340273979618184,0.008438136456275419,0.01234255011983898,0.0002388894901800831,0.008739204458132033,0.016182035345275042,0.005914902038911263,0.00149838471383823,0.02925633220696852,-0.015533971368835248,0.016729468047588777,0.005666287380068221,0.0018869392794372331,-0.03380874522015554,-0.02198381041296072,0.0010239776056571934,-0.03228200546948767,-0.038159412895095834,-0.043137984559116084,-0.0600173157216739
"Wind direction, Maximum (°)",0.01202344100336589,0.01677615443153277,0.018418063212965973,-0.005113514110465624,0.3582596636552843,0.044098515381094,0.0051359432494012085,-0.012841373867267119,0.03372523381546745,0.0037302814169258847,3.354154328363834e-05,-0.008452117734461362,0.025361890441437607,0.031796589409720355,0.0018674514482436844,0.015055461185904506,0.00025192428721735466,-0.014236841471287016,-0.007809395480236181,-0.022685337989259258,0.0026682429585929146,8.769292779799154e-05,0.02356479520954007,0.005460892673109893,0.010189798855317782,0.02879624501007444,0.031813412286631655,0.03184151066414462,0.030585318207759532
"Nacelle position, Standard deviation (°)",0.0059761925050744675,0.05180487391648122,0.012405952412571765,-0.022778371948317822,-0.010978704515428015,0.0650969732219422,-0.017661945601009144,0.02731866285336121,0.05395339446472058,-0.06996636164130672,0.028192047456485875,-0.11109702767654225,0.06087794817724834,0.012124279025384401,-0.07870396331996976,0.06295805149238345,0.01506762638574835,-0.17781100977378173,-0.12009911925893688,-0.27162489960459596,0.02085054678356228,0.021321478652568497,0.5694230738820472,0.48302665503484615,0.3625635334969079,-0.18161483228475672,-0.19878400780990663,-0.04402948698947354,-0.15487625319337123
"Nacelle position, Minimum (°)",0.01450338517159556,0.005371943745329073,0.02118964788542251,0.004341722900254512,0.37721776450584626,0.02810891218514073,0.00803771526415747,-0.0050861070002544365,0.029763503346241543,0.014579939056619636,0.00415203134921277,0.0031762425170930725,-0.017328289512611894,0.005691483053446411,0.014819868614192266,0.015327484077669429,-0.0009088347153567156,0.018965234597761976,0.000504117327033704,0.005295686740955735,0.006417612495095426,0.0012474831440209277,-0.036336564981743126,-0.05383757061317582,-0.01829310633008146,0.011156025441148298,0.006425148326537344,-0.010043584648570913,0.008051831372158758
"Nacelle position, Maximum (°)",0.014802066606893123,0.010362496700041161,0.021524196393812756,0.0025610189304735445,0.3782159754847863,0.03601308075446807,0.006207860341075798,-0.0019059519333850848,0.03826085687374411,0.0040478968190218075,0.007508643267104431,-0.013939686776413857,-0.009312738128684734,0.007473016453660386,0.004514052537042762,0.022883548205283016,0.0006060200207982092,-0.0063232040348278895,-0.013640457160364161,-0.030176604212973107,0.008725304382430549,0.003861915910908627,0.03783164988649809,0.009708642415340779,0.029741653543798513,-0.009125060765017706,-0.013613286512051069,-0.006792093538769695,-0.004302193270263109
Vane position 1+2 (°),0.0003113644014932057,0.00800544690963557,0.01638871114093636,-0.016714274215705007,-0.013291905598213114,0.01828998489563205,-0.0009533841275198115,-0.027785647124600132,0.016014250857154296,0.0415534227210003,-0.04197609122211532,0.011794589621012042,0.5803775424340434,0.36219752027326396,-0.011200907005818578,-0.04171755405375327,0.011667135411646046,-0.013127162314064592,-0.02445308469956743,-0.0016984289790628881,0.02250991217313493,0.02408807589245015,-0.07541520822433884,-0.028008300880401897,0.002215882928929179,-0.00507965429217766,-0.015858951793931597,-0.01976364112458745,0.00043446427673918264
Power (kW),0.13599516802378195,0.011140592835519846,-0.015960681463232807,0.03923343494230136,-0.0004684500563321534,-0.039817623990137226,-0.011173573843862063,0.024624091225188553,-0.008285396964658834,0.003245961434141447,0.00505591004185757,-0.04192169628580258,0.02113298165250882,0.006913708737756319,-0.03236962656140567,0.010937189450803686,-0.004343132050906556,-0.01373537054921592,-0.0103944903713383,0.0016197228601397828,-0.00045849466127453886,-0.0001257088106511317,-0.005641780864023168,0.00356866841772939,-0.02455162749656506,0.02572422992598772,-0.00041751516504805186,-0.008468506783707155,-0.0024007483378467587
Potential power default PC (kW),0.13293559962058935,0.014077695837464543,-0.014878963273591818,0.05166280101994812,-0.0013873264039798324,-0.06730349565201249,-0.007908246550028279,0.031634246986746786,0.002518573524919062,-0.01918149324257154,0.01272883206698483,-0.055802044442628033,-0.00874923548425982,-0.006174311974995739,-0.04307054461611126,0.01659212902310986,-0.006734532252389264,-0.02332067937995673,-0.00967631501994795,-0.006348859181071545,0.0017059321507135183,-0.0014664095879011931,0.004973218098674776,0.005660779584162889,-0.026134046626677225,0.03535066070479928,-0.0009644119526755653,-0.020477488348929818,-0.011896445416393259
