component,explained_variance_ratio,cumulative_explained_variance
PC1,0.36120113357300404,0.36120113357300404
PC2,0.10405361920557576,0.4652547527785798
PC3,0.09085674806265201,0.5561115008412318
PC4,0.05785940959788303,0.6139709104391149
PC5,0.045435887065263525,0.6594067975043785
PC6,0.034894734959237415,0.6943015324636159
PC7,0.029915224284032843,0.7242167567476487
PC8,0.028412620803700613,0.7526293775513494
PC9,0.020698502220004973,0.7733278797713544
PC10,0.01751566284907932,0.7908435426204338
PC11,0.016477613259704364,0.8073211558801381
PC12,0.015508796209314326,0.8228299520894524
PC13,0.014303179013675874,0.8371331311031283
PC14,0.013028122575299077,0.8501612536784273
PC15,0.01154130065620057,0.861702554334628
PC16,0.009606469627675295,0.8713090239623033
PC17,0.00880785162192025,0.8801168755842235
PC18,0.007976083291524404,0.8880929588757479
PC19,0.007195488977902466,0.8952884478536504
PC20,0.006932502039078677,0.902220949892729
PC21,0.00680073088303032,0.9090216807757594
PC22,0.006796189127063822,0.9158178699028232
PC23,0.006356806137332772,0.922174676040156
PC24,0.006092460651004012,0.92826713669116
PC25,0.005235883029557579,0.9335030197207176
PC26,0.005079208644962474,0.9385822283656801
PC27,0.004222531073794383,0.9428047594394744
PC28,0.004046433015018653,0.946851192454493
PC29,0.003744539869507577,0.9505957323240006
