,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29
Wind speed (m/s),0.1362985449286417,-0.028949523847514282,0.03896924941899404,0.030720283380788405,-0.02202716460932227,-0.03311010684645954,-0.010364706236974771,-0.001366260865197173,0.008294779368825441,0.0001379122483178133,-0.008185050029939958,-0.062064822562117705,0.004798035862416916,-0.00515160865054292,-0.016791848986079085,-0.0037938396647246683,0.011514396056685852,0.0018568128825964215,0.007932231111404679,-0.011908711278574522,-0.009177749526174622,0.006551911014070813,0.007659464764457412,0.012278133659808609,-0.010946488974901537,0.00618194018253983,0.016574827381559763,0.026326872109489554,-0.013058755992486753
"Wind speed, Standard deviation (m/s)",0.08483151269232714,0.08182780849981457,0.03542937638774028,-0.1157912446788484,0.09381573735892258,0.17664674459301957,-0.016858342994884895,-0.01306122390709038,-0.0005997206091473827,-0.019473049650748853,0.007511109176586274,0.0324030297009197,-0.00993080063906939,-0.04320035219547337,0.009385702222854756,-0.05436632001535721,0.004824105347830907,-0.0006138320800723117,0.0015260995944964867,-0.007982625904165114,-0.028665891237442065,0.017583970247814894,-0.056741234980390486,0.10776665507530062,-0.021906456960303314,0.06462237140365448,0.08053558738883243,-0.01603105771221938,-0.10628417343277377
"Wind speed, Minimum (m/s)",0.11473965038507423,-0.06802875953337228,0.029692329412743912,0.08100742382855136,-0.061172786989472816,-0.10840192321069342,-0.003934576868398265,0.0035563043490379094,0.010156851831061083,0.009624883614111542,-0.010771561445052032,-0.07818611176421994,0.0061253242145769375,0.017098172440667518,-0.017551493865732154,0.01949249381830636,0.008519107228905792,0.0038202319909250793,0.01151461817643456,-0.00950075256226185,0.006164899299905243,0.0008143473609870822,0.04165939401062454,-0.04351271348838556,0.0013956760079580043,-0.032062185763495024,-0.027949936702033093,0.0477525032998528,0.04210722485793971
"Wind speed, Maximum (m/s)",0.13584583119603105,0.0018560273499503843,0.0426479349937256,-0.013106284599774531,0.013246628689123852,0.030274182663006355,-0.012615646174325479,-0.005324331301258471,0.005302936536745573,-0.0069873602511196665,-0.002079700522220382,-0.03238181122078021,0.0007176794426105443,-0.014652983782955611,-0.0055739338284086365,-0.016495426019256257,0.008192610338257314,0.005737622936993926,0.009880717435456973,-0.016794595124866543,-0.014099633272759371,0.010616244937695217,-0.009089046263079898,0.03946096557180595,-0.011576693196947901,0.025274891649985864,0.03565254816868785,0.0138070589738052,-0.037532914977587234
Long Term Wind (m/s),0.027005642918618896,-0.11572895382481224,-0.14846023481310539,-0.0031591747488085575,0.07202170778223482,0.03171165886666269,0.03373992294918089,0.11106663984548781,0.006112438326052752,-0.023841124435177843,0.001960134114120063,-0.004318403870404941,0.02987978705295742,-0.006068896064317195,-0.08514054622788886,-0.12361532172642048,-0.01623207465732973,-0.08572903840046263,-0.13136086423716686,-0.0545124180531219,0.07930873593733362,-0.04767652544785401,-0.024639044564912838,0.0017480990781176126,0.211787635728404,-0.048742897584104786,0.019908518207937334,0.07169648483492688,0.14420731591901872
Wind speed Sensor 1 (m/s),0.13642692777625515,-0.02043982483475748,0.04602716130880924,0.026897685036962382,-0.020999546110646222,-0.03276385832911349,-0.012078957031411777,-0.007861021446450622,0.006744406437740266,0.001348084644919879,-0.006927203223625356,-0.05814290171907033,0.007238944447254961,-0.002748867878796756,-0.0125274568514879,-0.005716844660349229,0.012539184647245252,0.0012596258577899644,0.008709808131653639,-0.015288087563915947,-0.011369534167899271,0.007635829270199422,0.011787368437517133,0.012154115770604684,-0.008478071395336274,0.011291894311041585,0.024275024086631652,0.03297226720613729,-0.007574431398535635
"Wind speed Sensor 1, Standard deviation (m/s)",0.08230469035057512,0.08551005720191052,0.03481642479454039,-0.12331517980477802,0.09893132278188857,0.18877634455092462,-0.018539906359659214,-0.013030396445448376,-0.0014032536921364247,-0.019767666740930643,0.007525744014395194,0.029345413228656664,-0.0033054601659878845,-0.04971744507532556,0.0040673479677816125,-0.04884105919204345,0.010412175730644742,-0.0041606278530097966,-0.005151487545364236,-0.013121737455786465,-0.02985954633191672,0.018300630726359728,-0.05736710208408374,0.10366572809519162,-0.019164927846589498,0.061778932363192575,0.08240478348468838,-0.018586499047361343,-0.10874500847683646
"Wind speed Sensor 1, Minimum (m/s)",0.11786596775592525,-0.05952288631312455,0.038659394447107504,0.07785498756824699,-0.061715736858930725,-0.11183205601622753,-0.006071267796321812,-0.004713986935975353,0.0093395187972352,0.01111168496304783,-0.00957351318731179,-0.07243996603001901,0.006746057528711238,0.020450649437507268,-0.011008795689887177,0.015814364115027905,0.0063620600510352985,0.005532880310399082,0.01786695189856337,-0.010136187010524053,0.0025521375024923805,-0.0009492792326009636,0.04218556112501404,-0.038027900866312074,0.0012067898302198163,-0.021532451162305136,-0.02066662150424199,0.05545111025375716,0.04704397983492576
"Wind speed Sensor 1, Maximum (m/s)",0.135673123502334,0.008251290263183317,0.04855862806680336,-0.016838933599177583,0.01485599390108927,0.031967975768718015,-0.014299619817862319,-0.010836804775302182,0.004069890174363877,-0.005540436031243711,-0.0018036796332468463,-0.03041536547568937,0.0050264953551956565,-0.014748680131722404,-0.004585027120690144,-0.015297884539245125,0.010759124468958686,0.004510449801860907,0.008982014746700476,-0.019807131961375513,-0.015957086794030906,0.011785046511513186,-0.0070453828160632614,0.03823084819870701,-0.010049622441784492,0.028576945510798778,0.044191474686152296,0.019359244944607196,-0.03251483133530357
Wind speed Sensor 2 (m/s),0.13622184455351805,-0.029063962838170445,0.03890442781934441,0.030419225856157382,-0.021602246024556737,-0.03275955808055159,-0.010143865797884455,-0.0014829695646833008,0.008275935231257303,0.00033213607533135337,-0.007466607106894195,-0.06138833196180837,0.004600898211284151,-0.004742002242379844,-0.01613502017933266,-0.004572099635614994,0.011743321070484897,0.0012290041657262857,0.007959773685654647,-0.01202537579129112,-0.00868358577113354,0.006710944409239306,0.007132033483569514,0.012324334657919295,-0.01087956140503163,0.00594923596386393,0.016467306989541963,0.024846443714290456,-0.012690814778864454
"Wind speed Sensor 2, Standard deviation (m/s)",0.08510154135789232,0.08158097201823655,0.035106454856343755,-0.11595150079170125,0.09416107682870811,0.17726998429652258,-0.01978765999791976,-0.012321213912103057,-0.0011163616919486752,-0.020406583630194396,0.0069508572518395435,0.033920482739312155,-0.008927828428340879,-0.045640215198162803,0.005161747864768182,-0.05285314432302337,0.008220631526761175,-0.001311576129019202,-0.0034227377390908757,-0.006942473707923821,-0.03382546971797655,0.02025081381510504,-0.05873112394916367,0.10408724799725447,-0.022368602820937236,0.06346188792650778,0.08814249022442355,-0.024194002248495855,-0.1131411888114291
"Wind speed Sensor 2, Minimum (m/s)",0.11484382625501972,-0.06773392573624726,0.029869306510693937,0.07980577925386342,-0.060576314765065725,-0.10810900582086508,-0.003205644568984256,0.0023511724149122178,0.01135901451139154,0.010736389509806127,-0.011042083342130984,-0.07946536319417358,0.006160712729464925,0.019516613001516983,-0.014448975269429398,0.019540291965698245,0.005358258934257842,0.0034725585763667535,0.017603067987678855,-0.009413811725757198,0.007426425036862666,-0.0049418711871098,0.03933104008207242,-0.03948308853689002,-0.0015003735395859065,-0.029287880293031435,-0.03642669122541829,0.0508567330141553,0.043744981159634405
"Wind speed Sensor 2, Maximum (m/s)",0.1357971467475106,0.0019012500198968246,0.04283744872853266,-0.013527915160519339,0.013802083240542653,0.03084381684659271,-0.01335509205359972,-0.005151348406687184,0.005909969136071669,-0.006631085767041748,-0.002611133004105537,-0.03232536803403872,0.0003033990330236491,-0.01500245586122028,-0.006548621122488316,-0.016274079231478437,0.009145807098174391,0.004497078278673034,0.009496928703891433,-0.01605454430003045,-0.015246569821657341,0.011565905573188873,-0.012156733732624866,0.03950434584689169,-0.013338289541200796,0.025933469095870146,0.03856742814051163,0.011270570907929765,-0.040524723971503085
Density adjusted wind speed (m/s),0.13646940106767574,-0.03249869255890392,0.03432840808213323,0.03134708446021898,-0.0209574731623426,-0.031102783342864097,-0.010100756575603512,0.0015192501256517388,0.008290852599139475,-0.0020415539770153907,-0.008092399236278164,-0.061943366223268403,0.0056655876500133,-0.005254062035966123,-0.01772300708823088,-0.0045658176043084225,0.011320850601658217,0.0017939279758075154,0.007715960685384021,-0.011445392085693715,-0.00896864206423699,0.006432096679436991,0.007143565511645175,0.012612754045773195,-0.01089500929154849,0.004737168751330484,0.014570843148115936,0.021871519547026763,-0.01439835043322421
Wind direction (°),0.010402443756063662,0.017395811819936685,0.01185595793816259,-0.00657738015497363,0.3289243054546452,-0.1751499428394327,0.023749260123798667,0.052262911509907584,0.029846148573420245,0.021767396199571715,-0.000492190904589962,-0.019959019669174762,-0.005836340612366209,0.028658750946091077,-0.0024242002476588254,-0.015088290353316679,0.01075350000081482,0.003739794973070684,0.004155551511433653,-0.008661049387443859,-0.011827327849169261,0.005462806824059044,-0.009464789728556876,0.00441600926582153,-0.027460802186859264,0.00943166999668121,-0.015180422234815333,-0.009571947463888508,0.003877335917108732
Nacelle position (°),0.009593441018903427,0.0176450516896731,0.009569391831178524,-0.007411635446153156,0.33790459526099437,-0.17630185977717214,0.024071207665958202,0.056239966466248625,0.02898543246139662,0.023091120753904695,0.0039210545948706495,-0.019616075911922007,0.003298661772017839,0.0015056454432256228,-0.0012265671941146805,-0.009451334843625786,0.01622826275604597,0.005934966174287832,0.009473506974694457,-0.007114628670387146,-0.012289426397756154,0.004701868134583703,-0.0031669614097412507,-0.009831841567933847,-0.03243495332197233,0.009694132503741511,-0.01076429995594292,0.009935762273412238,0.00548136192212513
"Wind direction, Standard deviation (°)",-0.010405464919972032,0.11804274139136996,0.008248423070604536,-0.12481033828241178,0.09906096003594476,0.164073141558298,-0.020052883919946633,-0.006797511975201509,-0.049661899623093364,-0.06684554386522022,0.02769277696467748,0.13843153403039954,0.012032719741736433,0.06623869347848302,-0.000526564777286409,0.012157920194074315,0.0305591590836764,0.01660725481696814,-0.018204177240580766,-0.06495840425426935,-0.051503027701992256,0.03188173442411924,0.10769447938657288,-0.0038372115076543145,-0.013148705388562165,0.12647067992135286,0.24354356948066258,-0.06802339327652665,0.0045431549821133566
"Wind direction, Minimum (°)",0.015053699863517652,0.008883296086712256,0.026253799941712654,0.02079892304595164,0.25994024633834345,-0.18913672658879682,0.018682019918973985,0.024729074127531683,0.030546211001151957,0.04162422395681954,-0.006842943908825783,-0.06222446765618957,-0.017475448780504332,0.016697592332171163,-0.0005247185470514393,-0.025227887144995298,0.010772069680646118,-0.001907201732297038,-0.024594324457222927,0.0004453345662782937,-0.011232097929916696,0.005084048438038891,-0.04416213786098354,0.001284721244076234,-0.015734394520412257,-0.006054535666261563,-0.11080903129476648,-0.047860979169555284,0.06907494751857951
"Wind direction, Maximum (°)",0.00797620447189397,0.034053957634017806,0.0007682629572165527,-0.036110472338622475,0.3251741311328463,-0.12834265811345658,0.02042030524909681,0.05115407131983306,0.011272203504971698,-0.005199177369484727,0.006705568739097889,0.04303095607514876,0.009679678599991193,0.029055257287317435,0.005389766240671334,0.01507989958698431,0.009995556119716531,0.010334263162681434,0.03329952063015301,-0.01589338753309994,0.002181238294553592,0.003489043042376877,0.03859592186541984,-0.01412840768665094,-0.000523243676969376,0.016327655746150256,0.048355158677252076,0.018060252069547755,-0.015469158395140403
"Nacelle position, Standard deviation (°)",0.005945490988511934,0.04979327634498718,0.02824904966647542,-0.038962407692274596,0.01790150444539491,0.05084583246780253,-0.0039978206952125785,-0.012476701973049984,0.022096957391047868,0.008966791918244857,-0.010945126535378102,-0.10684827056770649,-0.015273177381718461,0.07724434844035549,-0.06335852975747248,-0.030463890326811766,0.03272985871786144,-0.013541259341373584,-0.06260709318998879,-0.1417352031381512,-0.17227567852876496,0.14965981184292854,0.8387139121557764,-0.13644119878652633,0.24574216930866022,0.09281075634788667,-0.030439533447834982,-0.21657845979565504,-0.044742084484644305
"Nacelle position, Minimum (°)",0.00925755881852185,0.014410268250252791,0.008781427373164796,-0.004551044008133521,0.33392509532892584,-0.18065986664092087,0.024751197876924477,0.05573712955305238,0.02806342312131658,0.024409919666541935,0.0038796934022851115,-0.014218171833414867,0.0033948606375249213,-0.002040831067312787,0.0010352627270056036,-0.009194140960754105,0.015090106750145636,0.005923586670272714,0.011265840629122392,0.0016852174520993746,-0.0014481824876284854,-0.004525327687010958,-0.05622696493913648,-0.0011734912846631251,-0.04764139209501711,0.002703162462008052,-0.014210274541363394,0.022636250850948197,0.009955427005915896
"Nacelle position, Maximum (°)",0.00982845956082931,0.021871000555905726,0.009241042784340642,-0.011407995485540072,0.3373335702048481,-0.1691216025649159,0.022658972902908716,0.05561264724895151,0.028448395552105096,0.020538174335662185,0.002751949168578127,-0.023027176103773337,0.003559914876765158,0.00637497318623087,-0.003813080545752634,-0.008550086910852864,0.016599979151912997,0.006414704938870158,0.01116515154590604,-0.018398646857122586,-0.02219620904544628,0.014018280447511033,0.05951427437492293,-0.01763409289545423,-0.010690895654117849,0.017044330841185118,-0.0026656727492907935,-0.006363545056127018,-0.0019198504552011691
Vane position 1+2 (°),0.0027860178379528967,0.0033729570190651928,0.012617842879630527,-0.01774965692374813,-0.0003396408184797159,0.0287833050773645,0.0027448209612014355,0.022537232367326666,0.0002515909362799187,-0.08929136456901499,-0.023772963005380177,0.1712772939406739,-0.20841835728098446,0.6196176113649068,0.06085886427309142,-0.09368377810657189,-0.05098726668303575,0.016970818208313816,0.011845489714728041,-0.043319010113381205,0.0009107911344262837,-0.006072370377845651,-0.041189981348659435,0.019371011019640186,-0.0033214622574824215,-0.02776214556375166,-0.03925410377610636,0.02665062460012496,0.007055462781512686
Power (kW),0.1392491420172615,0.0036335142097893795,8.026749689146803e-06,0.036702852113147756,-0.015173652724949815,-0.02681592067119841,-0.015621352545787835,-0.003836053983813753,0.005227022019582531,-0.023048990257596325,-0.0008014343759762677,-0.015167289054219366,0.011311726067243177,0.022086118967079293,-0.030507306315763733,-0.01868300936728083,0.0067799316434511425,-0.0014506962304766894,0.0031012829219916327,0.007216134967896637,-0.007425782356009315,0.008102965959634362,0.001883700470711236,0.02556770352832563,-0.003951504562330663,-0.0008932825969320268,0.016147415133018317,0.022650272448259123,-0.023259763351211077
