GeneratorSpeed,Power,PredictedPower
1483.075,642.4251,668.5817258244102
1485.43,667.68634,671.6961783485211
1535.9104,780.47595,741.2831856120232
1029.9197,171.30586,140.7152719583969
963.1801,60.90708,98.5028843706142
1104.8248,234.48001,225.0052609712909
963.17334,68.84833,98.50119777127384
1274.0144,393.02002,412.31234187397195
1664.8132,941.9599,993.0690541096658
1372.6444,498.7658,525.966906543663
1520.8124,700.5765,719.6861493585182
1408.5958,535.8731,571.6338523350081
1534.6283,808.9377,739.4123076675259
992.424,137.8731,111.14442752912566
1433.9902,567.5282,604.4720029497432
1386.2573,518.4495,543.0893817445353
1734.8342,1095.7156,1181.9597056356245
1281.8538,394.17197,420.663259785832
1001.8768,154.42975,117.33771699542626
1170.1619,284.34357,302.07113391129644
1093.757,221.6149,211.63095398820718
1433.7574,573.64404,604.1699038700043
1157.3164,276.3518,287.4586302134227
1374.0306,519.20795,527.6985928257203
1109.82,237.89949,231.05392481883626
1278.9667,398.48505,417.57767577083763
1581.0621,913.2008,813.3019321754446
1151.8878,270.96198,281.1858661325894
1097.2517,222.9776,215.8458053258649
1749.7988,1243.5424,1221.9881350084224
964.9738,73.48621,98.97156450995635
962.59875,49.021183,98.36003533490793
1465.6746,618.04315,645.7254966507064
1298.9341,410.16568,439.19860825838305
1221.3174,331.95078,357.3174543837465
965.11487,81.4503,99.01020798341074
1497.8925,691.2424,688.3033259621094
1354.0002,470.08575,502.9853015220707
1327.083,463.08633,470.99646885694324
1253.3986,384.9893,390.6812759825793
966.568,96.33149,99.4233209370218
1587.1014,818.5013,824.0594436376418
1654.9021,901.37024,968.3521904536514
1087.4861,209.43755,204.1004202082803
1756.9998,1381.583,1240.6705156608527
1260.6641,375.16006,398.26227165585914
1337.321,463.33124,482.98388519082715
1763.9935,1339.8286,1258.3387264143853
1655.6539,941.31805,970.1978273385608
965.96356,79.914856,99.24815484953297
1231.0665,334.40067,367.48122758966184
967.86835,71.11527,99.81616421978993
1322.3323,440.87213,465.51129589324205
1010.139,154.95575,123.49495063514769
1602.7561,1063.6018,853.4478435036506
1250.7242,362.43845,387.89837399626055
1115.5088,236.20149,237.93693731106708
1070.9037,204.73073,184.53064774631872
1372.7996,488.35022,526.1606428142153
1330.4574,447.2281,474.9224075867388
987.3247,145.39598,108.20651160663431
1324.4501,456.54257,467.95044213000074
1554.697,747.1407,769.6603318206182
1661.3735,937.31683,984.3981960663848
1397.1246,544.2272,556.9192012816281
1412.3967,546.8228,576.5298173806284
1069.6353,209.62907,183.06250443805254
1598.684,829.6026,845.5869249117161
1184.7352,295.46613,318.25375364887094
1497.3624,670.28357,687.5918601114067
1010.8676,148.3714,124.06929704410004
963.5903,106.85978,98.6063508223998
990.21216,113.90354,109.83431681401123
1425.7517,566.497,593.7906817286806
1276.9854,386.26123,415.46712799116557
1240.3892,357.97488,377.164331680361
1453.6364,603.92426,630.0157517516382
1009.9586,166.55788,123.35350715829657
1216.4739,334.4274,352.2423720696981
989.1372,127.52091,109.21730222866915
1451.9033,603.339,627.7583332707616
1487.4211,705.63763,674.334538800603
1564.6193,757.06226,785.4968000399676
1159.6206,278.07935,290.1038913117325
1104.454,230.96132,224.5563192576118
1634.2107,900.2536,919.5934720968316
1188.0201,305.12418,321.8456544678459
1306.9581,424.40305,448.0938089625099
1655.2588,954.2349,969.2272570251154
1430.4991,567.8195,599.9432594010063
1525.5049,715.3319,726.3029074376423
1548.509,733.9597,760.0988443594363
1620.8263,931.2839,890.2567186873166
1269.4276,382.96985,407.4636183129334
1469.2657,620.00494,650.4247791186078
1033.6906,171.888,144.34651274852547
1630.2365,894.74646,910.697932832787
1225.5271,356.25476,361.7132768757308
1673.469,1084.8175,1015.2938838061291
1212.8807,323.10352,348.4629173988071
1269.0966,378.51062,407.1146689868838
1365.9102,493.26135,517.5972069297155
1243.7439,356.4036,380.64657528710006
1062.4502,199.14413,174.84734993243472
1126.4282,250.40547,251.09330128305857
1349.3882,467.3546,497.39834015265717
1065.9388,199.98656,178.8134844164627
1325.3395,439.08636,468.9777082990741
1739.8071,1169.4175,1195.4079765630518
1500.4283,674.41895,691.714018641245
1057.2145,199.85211,168.98449684007716
1183.4423,299.5396,316.8345771670625
1306.2803,420.6485,447.3373979226401
1757.225,1262.654,1241.247208330433
1514.0315,685.1659,710.2547502036311
1511.9415,705.7171,707.3756968292793
1083.1779,215.35306,198.95994219283472
1789.8519,1515.9257,1318.235692800377
1215.2756,333.6372,350.9834317673002
1508.3684,677.2928,702.4810350236806
1330.4148,453.51028,474.8726904725677
1480.0272,610.388,664.5599910996283
1787.6935,1263.5178,1313.6240058746498
1695.9343,1068.0446,1075.1939951982433
1050.624,190.4854,161.77774319459502
1065.3898,181.77174,178.18639403727315
1106.0118,223.84346,226.4425407775164
1522.7819,696.85535,722.4537132002882
1412.531,546.8399,576.7029661069741
1667.65,1042.7273,1000.2908024698236
1651.586,1083.0911,960.2709338970342
1468.0126,724.9088,648.7841530522365
981.19354,133.70992,105.06847389810434
1271.2747,383.56046,409.4131717321957
1418.3951,545.8337,584.2726207512837
1488.1792,652.0234,675.3404034510229
1490.3121,644.4893,678.1745405754559
1059.6229,185.7364,171.66730869545216
1733.3711,1168.903,1177.9813541186697
1689.6768,1042.007,1058.2457131679855
1170.3583,289.40305,302.2919952105296
1655.7275,943.58307,970.3787776651354
967.7016,122.341415,99.76457015398523
1193.5632,311.9807,327.86333911836726
1011.12384,165.02888,124.27245814217702
987.5945,150.71898,108.3546065765189
1620.7969,867.17236,890.1942290397801
1419.3661,558.33276,585.527638446528
1757.1448,1284.1726,1241.041888059906
1491.175,656.4869,679.3229594670297
1277.6534,387.7866,416.1780896723508
963.634,84.19319,98.61750358110032
1009.3831,152.61761,122.90432010449274
990.38635,154.52731,109.93551957783438
1616.731,845.1006,881.6345064361539
1780.3037,1226.1134,1297.2559704167613
1127.4734,259.88367,252.3468541241948
1704.9487,1072.9093,1099.8508659458564
980.3247,115.92461,104.65961534348241
1677.2844,940.0294,1025.260665286512
1558.1227,745.24927,775.0546213524474
1630.0001,971.9957,910.1736904093092
1362.452,493.55484,513.328332165869
1701.4801,1069.6233,1090.3361943929917
1295.1233,419.35522,435.01812464899547
1079.0109,210.86795,194.02110287128295
