feature,pearson_corr_with_target,abs_corr_with_target
Wind speed (m/s),0.9648506240597191,0.9648506240597191
Gear oil inlet temperature (°C),-0.7518446951313094,0.7518446951313094
Transformer temperature (°C),0.7140943425415015,0.7140943425415015
Tower Acceleration y (mm/ss),0.6682653756048448,0.6682653756048448
"Current L2 / V, max (A)",0.6642446387618124,0.6642446387618124
Front bearing temperature (°C),0.6392269292164707,0.6392269292164707
"Reactive power, Standard deviation (kvar)",0.5794522274020851,0.5794522274020851
"Wind speed, Standard deviation (m/s)",0.5206762434971075,0.5206762434971075
Nacelle temperature (°C),-0.4999904412387575,0.4999904412387575
Power factor (cosphi),-0.4585042945896411,0.4585042945896411
Generator bearing front temperature (°C),-0.4509723858972355,0.4509723858972355
Gear oil temperature (°C),-0.4375652818206206,0.4375652818206206
Motor current axis 1 (A),0.4264191457281227,0.4264191457281227
"Power factor (cosphi), Min",-0.4208634084917766,0.4208634084917766
Stator temperature 1 (°C),0.3687983311909533,0.3687983311909533
"Power factor (cosphi), Max",-0.34201261963191054,0.34201261963191054
"Gear oil temperature, Max (°C)",-0.2898406618504113,0.2898406618504113
Generator bearing rear temperature (°C),-0.2345313143585433,0.2345313143585433
"Blade angle (pitch position) A, Max (°)",0.2210857194545837,0.2210857194545837
Tower Acceleration X (mm/ss),0.2088938166358378,0.2088938166358378
Temperature motor axis 1 (°C),0.2050427012048955,0.2050427012048955
"Generator bearing rear temperature, Std (°C)",-0.1947956505010485,0.1947956505010485
"Gear oil temperature, Standard deviation (°C)",0.192874868818539,0.192874868818539
Long Term Wind (m/s),0.17075052773604185,0.17075052773604185
"Grid voltage, Standard deviation (V)",0.13899464579511125,0.13899464579511125
"Wind direction, Standard deviation (°)",-0.1378516228151791,0.1378516228151791
Nacelle ambient temperature (°C),-0.12889420305621171,0.12889420305621171
"Hub temperature, min (°C)",-0.11872069645330428,0.11872069645330428
"Voltage L1 / U, Standard deviation (V)",0.11607133127781424,0.11607133127781424
Voltage L1 / U (V),-0.11428097168671464,0.11428097168671464
"Wind direction, Minimum (°)",0.11338534808860051,0.11338534808860051
"Blade angle (pitch position) A, Min (°)",-0.1114524822537833,0.1114524822537833
"Voltage L1 / U, Min (V)",-0.10166740893059882,0.10166740893059882
"Generator RPM, Standard deviation (RPM)",0.09086551875907856,0.09086551875907856
Wind direction (°),0.06520688263409329,0.06520688263409329
"Front bearing temperature, Standard deviation (°C)",0.050958337548585864,0.050958337548585864
Blade angle (pitch position) A (°),0.03625529574315205,0.03625529574315205
"Nacelle temperature, Standard deviation (°C)",-0.033609644687108614,0.033609644687108614
Cable windings from calibration point,-0.029603375147361884,0.029603375147361884
Vane position 1+2 (°),0.027964243558204965,0.027964243558204965
"Nacelle position, Standard deviation (°)",0.027845813786754728,0.027845813786754728
"Generator bearing front temperature, Std (°C)",0.019567069736466942,0.019567069736466942
Metal particle count,0.015027644087276885,0.015027644087276885
"Hub temperature, standard deviation (°C)",0.011791421555153496,0.011791421555153496
"Grid frequency, Standard deviation (Hz)",-0.009118785810241663,0.009118785810241663
"Grid frequency, Min (Hz)",-0.008770000951097805,0.008770000951097805
"Voltage L1 / U, Max (V)",-0.006378687537250399,0.006378687537250399
Grid frequency (Hz),-0.00510827583917567,0.00510827583917567
"Grid frequency, Max (Hz)",0.001364977602106124,0.001364977602106124
