PitchAngle,Power,PredictedPower
0.5574605,1674.1241,1643.2658515972762
0.45033324,1614.0862,1632.3967896414274
1.6046324,1759.8865,1784.908741892114
1.4054024,1925.0717,1756.3900509084413
3.655224,1966.6958,1962.6229808703877
1.3472426,1743.061,1747.9635280395091
0.29595435,1752.2079,1618.9424793148362
8.056522,2044.9908,2025.265564953004
4.901473,2019.4357,2000.4327385902106
0.0,1497.0908,1601.4179601506496
0.20047271,1533.7302,1612.0488688151067
1.0926907,1624.5168,1711.3323265148047
2.4901383,1962.7936,1890.5862435367678
3.9239416,1910.2362,1972.4039939548636
0.5119371,1670.0219,1638.5033809438467
5.8382745,1984.0522,2021.8746707148232
1.1812001,1696.5652,1723.955307058946
2.9346192,1925.5668,1925.7659545639724
0.97533095,1759.615,1694.9744338641317
0.61098915,1919.6766,1649.1224580385547
4.984391,1893.9741,2002.50611869327
0.19799581,1620.2432,1611.8853106238455
3.4562886,1986.6458,1954.2925968150057
0.31192875,1455.9235,1620.2055458067043
4.9084387,1977.1115,2000.6082398761089
0.040499955,1618.2723,1603.132453862641
0.33206928,1655.3187,1621.841683476197
0.56475127,1653.9646,1644.0475442507927
6.065283,1964.6097,2026.2870569566553
0.0,1375.4137,1601.4179601506496
0.55638695,1430.8285,1643.1511841118997
0.9523029,1855.0177,1691.8316836858662
0.95989573,1884.4703,1692.865145894932
3.6654522,1839.1722,1963.0232390144238
0.116972186,1564.3507,1606.9730299241878
0.52887696,1715.8843,1640.2514056385348
0.38743258,1560.671,1626.584989164201
0.013999952,1616.517,1601.9853894334037
1.5123638,1640.6637,1771.7969329011755
1.7627752,1837.377,1806.7682604651175
0.5601898,1607.186,1643.5578759460918
4.485833,2019.9985,1989.469913414836
1.0848234,1882.9012,1710.2204208314154
6.5046773,2047.8629,2033.3812179914094
2.7451768,1946.1532,1912.195977244061
1.7076981,1820.0018,1799.2594111680119
0.09499887,1650.3281,1605.789431550559
5.570404,1961.2944,2016.2119916436527
8.069962,2041.8696,2024.8750361464965
0.004,1627.1674,1601.5773557690045
5.0604453,2015.4528,2004.3782300196006
3.869021,2004.731,1970.5174703638254
1.0881742,1580.7766,1710.6937657388369
3.9318879,2013.5796,1972.6727865065347
4.6311436,2027.1165,1993.4208234421253
1.5456933,1916.4146,1776.557024668852
2.7738388,2006.2958,1914.3786619013194
0.9689402,1810.8021,1694.099766653426
3.6604455,1928.7963,1962.8276248445763
6.746109,2061.7412,2036.1194231725183
7.0842967,1969.7124,2037.989857929662
3.758238,1966.9071,1966.5451467452888
5.489153,2023.2568,2014.412994799668
1.7894902,1848.2596,1810.3648704787515
0.41141814,1548.424,1628.7492293891257
0.76834977,1609.1766,1667.7847409013223
0.52679425,1485.1119,1640.0349304565725
1.2273023,1823.9458,1730.5940279847375
0.76678395,1665.9457,1667.5894289642763
1.372159,1678.3727,1751.5756102614134
4.0729065,2026.259,1977.2847273114724
1.0465353,1885.739,1704.8377891012965
2.928368,1939.9733,1925.3493687447335
5.801951,2036.4985,2021.133156453747
1.3936653,1748.733,1754.6910882491477
5.5958705,2021.9293,2016.7685401950214
0.24748078,1630.4283,1615.300603062689
2.5669317,1815.0448,1897.5177852779516
0.62390816,1861.1896,1650.5757231349387
0.91991174,1767.5785,1687.4550764375338
0.2489805,1517.3406,1615.4089220516155
4.09463,2036.7227,1977.9707572865332
2.5393414,1886.3318,1895.0704207153856
2.1557865,1958.5007,1856.0015672514148
1.2447463,1844.6831,1733.1137755843172
3.3583832,2024.8953,1949.757605666034
1.8004801,1984.8451,1811.8353167351731
0.53521156,1607.6315,1640.9124856818814
7.2232175,2040.745,2037.9460853655014
1.4083111,1884.2126,1756.8109167368948
0.024499746,1404.0331,1602.4284713368995
6.8253827,2019.99,2036.7841937239546
0.16198424,1474.4077,1609.596499668672
6.385657,2051.3784,2031.6922376738216
3.1525059,1628.6731,1939.0798564172096
1.3917842,1845.6681,1754.4187003254447
6.1419206,2043.966,2027.67833033315
1.2581089,1619.97,1735.0462126173186
0.8412853,1733.1693,1677.0706124230137
0.80723804,1612.8799,1672.6910972229866
3.6011925,1815.2651,1960.4659868574138
0.19396256,1681.049,1611.6206621465963
6.647178,2054.6072,2035.1196181391742
1.6146562,1963.0299,1786.3195978573951
6.4089932,2000.9604,2032.0389162455328
0.30892026,1675.9221,1619.965316798594
0.18797937,1693.1447,1611.231908890405
0.45931968,1588.3021,1633.2625726893796
0.691707,1557.5493,1658.442067122207
1.3744197,1815.4834,1751.9032240199763
3.5321672,1783.2559,1957.5997444771535
7.1392236,2016.0023,2038.0345102498318
1.9590691,1859.1771,1832.4047741091554
3.3929093,2033.3806,1951.393270736637
0.011499974,1529.3931,1601.8821038599924
1.0751083,1681.2218,1708.8500307980012
1.7762063,1882.1313,1808.5803452281964
0.7268328,1658.814,1662.66758628339
3.836853,1979.0483,1969.3880172959953
0.75639266,1676.4633,1666.2978024362474
3.2520254,1803.0472,1944.4492246522582
3.3081422,1972.4415,1947.3024065313243
5.471012,2048.9524,2014.00660635065
0.32719287,1489.1829,1621.441105186036
0.101997875,1435.2092,1606.1594727720885
0.592254,1790.8118,1647.042033460156
3.064345,1986.9717,1933.9650543082128
1.6298593,1854.4847,1788.4536534617223
0.265496,1625.0663,1616.620279370734
2.7910967,1848.8842,1915.669988921804
4.2875643,1960.9054,1983.824013904406
1.5233097,1665.1315,1773.362856174154
1.995222,1865.3159,1836.9095965063536
1.0932297,1837.0856,1711.4085738026722
3.5842836,2018.1829,1959.7756999149262
0.444905,1364.4698,1631.878040398244
0.30349362,1586.6775,1619.5347546830487
3.742996,2032.7281,1965.9795390862876
1.6243197,1832.9299,1787.6768853806986
0.0,1514.1271,1601.4179601506496
0.6783158,1636.978,1656.8574122508371
2.8468778,1934.6582,1919.7282534249932
7.6789255,2054.159,2033.8047573350734
1.0541769,1855.1512,1705.908060096421
0.06299958,1564.1699,1604.1809846858823
4.703621,1944.4436,1995.3411256819854
3.4838538,2002.4816,1955.5139144863556
2.534756,1888.9606,1894.6590213774941
0.42491284,1567.7136,1629.9952124869358
0.70244837,1862.5581,1659.7237585989692
5.6892858,2041.1067,2018.7787045443745
3.4017742,2031.7603,1951.806704923467
2.9823642,1882.9082,1928.8811888227874
0.15198284,1264.6293,1608.9906463027423
0.053999428,1605.7102,1603.7533615239713
1.4787744,1764.2423,1766.977229914673
2.6571705,1946.5688,1905.1905990673804
0.7268042,1602.0961,1662.6641062051478
3.9426677,1993.8132,1973.035804457638
0.41845086,1788.501,1629.396044267007
3.8032372,1783.5786,1968.1872189193869
2.1071837,1844.1763,1850.3851185092572
5.173753,2042.8951,2007.1160018593414
0.047499504,1526.6678,1603.4513242890769
1.9523094,1831.0433,1831.5544954155148
2.548822,1786.8337,1895.9167988822533
1.4679412,1910.8024,1765.418621725365
7.558409,2068.2427,2035.5359344764297
4.745027,2014.0637,1996.4243704836808
1.8936782,1912.6008,1824.0771952022656
7.823766,2046.0819,2031.0893086014025
1.5333079,1916.5598,1774.7909897644738
1.7584624,1956.8857,1806.1847587969
8.25124,2045.8087,2019.0502841226405
0.93130535,1747.4781,1688.9884600314438
6.3127446,2034.7897,2030.5638069123236
5.526567,2045.2341,2015.2457322880005
0.18692729,1394.0624,1611.164026316853
2.827753,1971.82,1918.3565393954677
0.36098558,1643.1168,1624.2746626858302
4.2569466,1999.9772,1982.921373092994
2.3928237,1989.2526,1881.260998912542
0.352488,1712.3065,1623.5495167881281
3.807085,2054.5603,1968.3257622446063
5.8909717,2055.9407,2022.9341443621174
0.37641326,1515.6167,1625.6126008753163
1.7795452,1871.6741,1809.0296117424339
1.2478912,1769.9132,1733.5684153641082
0.0,1544.1255,1601.4179601506496
2.8463163,2011.6727,1919.6882695872525
4.8085556,2007.2369,1998.0677808991968
0.0,1479.3931,1601.4179601506496
0.039999697,1557.6475,1603.109917935999
1.5567786,1967.7942,1778.1346381435596
0.6643118,1844.8555,1655.2162298335454
5.1266465,2055.257,2005.9852076011373
2.7183394,1912.6217,1910.1086452716042
3.6094887,2046.0382,1960.8019538534359
1.0097036,1697.8099,1699.709887892487
1.1973064,1749.1385,1726.2707299015976
3.9267898,1902.4174,1972.5004550574997
4.5898657,2033.9108,1992.3127277265944
1.6542506,1885.4403,1791.8621484391108
3.3736238,1929.5288,1950.4846758550136
0.678396,1801.8457,1656.8668585697342
0.834659,1644.6577,1676.2123832790662
3.171687,1970.5885,1940.1469634331681
2.9423525,1886.4774,1926.2784904348123
6.8513913,2038.0575,2036.9741077797364
2.5938687,1846.0751,1899.8610807553036
0.34398082,1495.0288,1622.8320077686985
2.020864,1866.1248,1840.0602321847773
7.588021,2038.0415,2035.1544971056271
4.9871006,2031.2444,2002.5732990678885
3.1753228,2020.1106,1940.347455928145
0.5273594,1648.4426,1640.0936286727767
0.70333713,1703.3416,1659.8302257370328
0.0,1447.0967,1601.4179601506496
7.65289,2059.8423,2034.2190616299538
7.0264716,2058.8457,2037.8590043115669
3.644496,2037.3832,1962.200460897753
2.576947,1324.3337,1898.3943359486898
4.225171,2010.4142,1981.9747913598967
2.2817118,1955.9713,1869.8675028502716
0.205982,1452.7537,1612.4154773447171
3.4990354,1988.9976,1956.1767283442541
1.7021111,1633.9667,1798.4910345995297
0.825316,1788.6877,1675.0070658158445
1.5272017,1724.733,1773.9190428110303
0.9598027,1537.2964,1692.8524668380041
7.32853,2066.5964,2037.5541899077923
5.161509,2029.7366,2006.8230948789485
0.17549662,1387.7603,1610.4356861906817
1.9086893,1780.228,1826.0087526012844
6.5253935,1986.2739,2033.6541526663532
0.27498034,1545.8788,1617.3311839068174
0.45437765,1568.5049,1632.7853650902139
0.5183946,1760.371,1639.1663074814812
1.9351292,1783.2126,1829.3823361874315
3.5790482,1953.6573,1959.5604441234004
2.2698698,1949.4547,1868.6064049122201
5.4192266,2031.9006,2012.8373028317353
2.9014843,1853.5115,1923.53437216897
2.8169422,1883.1792,1917.572102939862
1.4956475,1818.8356,1769.4009096275486
1.3970219,1624.1989,1755.1770691926881
0.15199865,1439.6117,1608.9915937296118
6.263522,2038.1866,2029.7654135636528
1.3776786,1653.3105,1752.375449451335
2.9603071,1903.7384,1927.4565305726633
4.3631873,1970.2039,1986.0162258182047
1.0071362,1641.3524,1699.3544405775003
2.5842254,1524.1516,1899.027407897836
1.1449331,1860.9132,1718.7602023018462
5.14602,2013.2659,2006.4515423492746
1.7638457,1929.3362,1806.9129721440845
0.8149474,1736.5413,1673.6760940040085
6.5550203,2042.8263,2034.0329349698518
0.024499746,1661.6177,1602.4284713368995
4.8468924,1961.9645,1999.0489897583652
4.0625415,1979.7515,1976.9552516534177
5.9008384,1991.2432,2023.1302926709682
1.836394,1908.0302,1816.6020974179235
6.03942,2013.188,2025.8054499171822
2.949058,1924.5925,1926.7203966300783
2.2854967,1764.492,1870.2686768427973
0.35393727,1565.6451,1623.6725953913756
0.8997321,1721.0858,1684.75619602557
2.7883992,1789.2607,1915.4692742555808
0.7892265,1629.8015,1670.4055404770863
3.4622672,1995.2831,1954.5594725008766
7.981492,2054.7305,2027.3379562905982
1.0802635,1622.5448,1709.5768378537991
0.0,1523.8833,1601.4179601506496
0.19499461,1543.9362,1611.688183395275
6.189214,2044.2108,2028.5084920581337
0.073997885,1674.5062,1604.7183401974498
2.5015657,1921.2169,1891.6414298407583
6.3687315,2002.8467,2031.436303703117
0.555959,1688.472,1643.1055053650819
2.6243923,1786.8427,1902.461770263578
1.2226096,1603.0138,1729.9168194230472
5.63285,2035.5319,2017.5702727007917
6.208,2035.7372,2028.831880728897
4.823829,2030.5549,1998.4596270401514
7.236722,2054.9114,2037.9136264729277
1.2112451,1841.8901,1728.2780513041416
2.3796797,1717.2854,1879.9547132007767
5.5152607,2010.308,2014.9948568948855
1.4772514,1858.858,1766.758224817571
2.4186988,1847.275,1883.799970803819
0.48420435,1709.332,1635.7050190315304
0.028999753,1450.5017,1602.6229544728776
0.49898908,1772.3744,1637.186974463805
1.2659831,1902.452,1736.1857182402646
0.7277374,1477.6046,1662.7776916448352
8.394796,2032.3359,2013.737071131736
1.000062,1575.1201,1698.3764606821335
0.18249597,1515.3617,1610.8796713632778
4.155913,1979.9077,1979.8747241778656
0.43294325,1602.0881,1630.746236967611
1.3093642,1925.3535,1742.4709276303627
0.04899957,1702.6229,1603.5205227664574
1.2239811,1853.2037,1730.1147119445498
1.3542627,1619.0128,1748.981405349348
5.2596836,2018.0287,2009.1516874524243
2.1662169,1868.3092,1857.187934625391
0.5684332,1825.0353,1644.4442573831732
1.6139215,1985.8374,1786.216289745194
7.902468,2028.4454,2029.3207098890878
0.24998578,1670.6498,1615.4816866274346
2.254748,1841.5476,1866.9829962520137
0.6084236,1754.2295,1648.8356614413747
0.4225697,1712.9314,1629.7774170542712
3.9691057,1957.2843,1973.9184001232306
1.3770766,1744.4221,1752.2882217546787
0.9752728,1433.5503,1694.9664667498298
2.7995868,1624.3029,1916.2990060841016
8.459441,2056.7856,2011.1571422470377
0.08599898,1363.167,1605.3231995747785
3.1884685,1858.1586,1941.067686255551
1.1551402,1589.828,1720.2194854470008
4.8741407,2029.8433,1999.7417148177196
3.773966,2047.843,1967.1237270601487
4.5094943,2038.2219,1990.123073537091
2.0515225,2014.6189,1843.777638628126
0.47888142,1701.1049,1635.1770626419502
3.3456757,1928.3947,1949.145165392426
4.9953938,2018.9448,2002.7786932973765
