feature,pearson_corr_with_target,abs_corr_with_target
Wind speed (m/s),0.9597968585440069,0.9597968585440069
Transformer temperature (°C),0.7336648802041916,0.7336648802041916
Gear oil inlet temperature (°C),-0.7228426454942652,0.7228426454942652
Front bearing temperature (°C),0.685489090814997,0.685489090814997
"Current L2 / V, max (A)",0.6640924873357734,0.6640924873357734
Power factor (cosphi),-0.6333743057311392,0.6333743057311392
"Reactive power, Standard deviation (kvar)",0.5970091208665057,0.5970091208665057
Tower Acceleration y (mm/ss),0.5830513454612327,0.5830513454612327
"Wind speed, Standard deviation (m/s)",0.5638358122192428,0.5638358122192428
Nacelle temperature (°C),-0.52138349761763,0.52138349761763
Generator bearing front temperature (°C),-0.5181387837676237,0.5181387837676237
Motor current axis 1 (A),0.467485557674626,0.467485557674626
Stator temperature 1 (°C),0.4646237321120315,0.4646237321120315
Temp. top box (°C),-0.4623380135325526,0.4623380135325526
Gear oil temperature (°C),-0.42338503543251105,0.42338503543251105
"Blade angle (pitch position) A, Min (°)",-0.3097566919170046,0.3097566919170046
Generator bearing rear temperature (°C),-0.28929903050397154,0.28929903050397154
"Gear oil temperature, Max (°C)",-0.2864380694829656,0.2864380694829656
"Generator RPM, Standard deviation (RPM)",0.2688369470798599,0.2688369470798599
"Generator bearing rear temperature, Std (°C)",-0.20906948015348878,0.20906948015348878
Blade angle (pitch position) A (°),-0.19930188085524922,0.19930188085524922
"Blade angle (pitch position) A, Max (°)",0.19543606112169812,0.19543606112169812
Long Term Wind (m/s),0.17190580375262446,0.17190580375262446
"Gear oil temperature, Standard deviation (°C)",0.16678803131829176,0.16678803131829176
"Hub temperature, min (°C)",-0.13413904909692592,0.13413904909692592
Tower Acceleration X (mm/ss),0.12924981742577635,0.12924981742577635
"Grid voltage, Standard deviation (V)",0.12505578243414747,0.12505578243414747
Nacelle ambient temperature (°C),-0.12415465853267914,0.12415465853267914
Voltage L1 / U (V),-0.1226785123062799,0.1226785123062799
"Voltage L1 / U, Min (V)",-0.1116649425865928,0.1116649425865928
"Voltage L1 / U, Standard deviation (V)",0.10885811817695117,0.10885811817695117
"Wind direction, Standard deviation (°)",-0.08541927552405075,0.08541927552405075
Temperature motor axis 1 (°C),0.08188231519810789,0.08188231519810789
Wind direction (°),0.07930194711181196,0.07930194711181196
"Nacelle temperature, Standard deviation (°C)",-0.056102086870688024,0.056102086870688024
"Nacelle position, Standard deviation (°)",0.03818895191350858,0.03818895191350858
"Generator bearing front temperature, Std (°C)",-0.03481922962453659,0.03481922962453659
Cable windings from calibration point,-0.031030419564437386,0.031030419564437386
"Hub temperature, standard deviation (°C)",0.022518432271168377,0.022518432271168377
"Voltage L1 / U, Max (V)",-0.018813995556747693,0.018813995556747693
Vane position 1+2 (°),0.015464379116000576,0.015464379116000576
"Grid frequency, Min (Hz)",-0.012012549344332645,0.012012549344332645
Metal particle count,0.008345577133019262,0.008345577133019262
"Grid frequency, Max (Hz)",0.004050346717299997,0.004050346717299997
"Front bearing temperature, Standard deviation (°C)",-0.0037954263752033647,0.0037954263752033647
Grid frequency (Hz),-0.0027633593431699204,0.0027633593431699204
"Grid frequency, Standard deviation (Hz)",-0.0018468590569869353,0.0018468590569869353
