feature,pearson_corr_with_target,abs_corr_with_target
Wind speed (m/s),0.9625045618792202,0.9625045618792202
Transformer temperature (°C),0.7298376799311626,0.7298376799311626
Front bearing temperature (°C),0.7247348550297045,0.7247348550297045
Gear oil inlet temperature (°C),-0.6915961391306272,0.6915961391306272
"Current L2 / V, max (A)",0.6636301666433019,0.6636301666433019
Power factor (cosphi),-0.6488106117142007,0.6488106117142007
"Wind speed, Standard deviation (m/s)",0.6235121621426445,0.6235121621426445
Tower Acceleration y (mm/ss),0.6128470695085605,0.6128470695085605
"Reactive power, Standard deviation (kvar)",0.5958476767291474,0.5958476767291474
"Power factor (cosphi), Min",-0.5645248974239425,0.5645248974239425
Nacelle temperature (°C),-0.5159711374014242,0.5159711374014242
Generator bearing front temperature (°C),-0.4540076732874522,0.4540076732874522
Temp. top box (°C),-0.4224414311130542,0.4224414311130542
Rear bearing temperature (°C),0.3886395340636668,0.3886395340636668
"Generator RPM, Standard deviation (RPM)",0.37460898477677895,0.37460898477677895
Stator temperature 1 (°C),0.37090940297890773,0.37090940297890773
Gear oil temperature (°C),-0.3608289221034626,0.3608289221034626
"Blade angle (pitch position) A, Min (°)",-0.3244706199891706,0.3244706199891706
Blade angle (pitch position) A (°),-0.3107492089397823,0.3107492089397823
Generator bearing rear temperature (°C),-0.29158281506594047,0.29158281506594047
"Gear oil temperature, Max (°C)",-0.25761451536373325,0.25761451536373325
"Generator bearing rear temperature, Std (°C)",-0.22919556646170758,0.22919556646170758
Voltage L1 / U (V),-0.21616423219769465,0.21616423219769465
"Gear oil temperature, Standard deviation (°C)",0.18620098140270905,0.18620098140270905
Tower Acceleration X (mm/ss),0.17868004251656602,0.17868004251656602
"Voltage L1 / U, Min (V)",-0.17146321692384056,0.17146321692384056
"Blade angle (pitch position) A, Max (°)",0.17082963762261658,0.17082963762261658
Long Term Wind (m/s),0.16664347557604864,0.16664347557604864
"Grid voltage, Standard deviation (V)",0.14125625439447725,0.14125625439447725
"Voltage L1 / U, Standard deviation (V)",0.12078176596193227,0.12078176596193227
"Hub temperature, min (°C)",-0.11161943609892018,0.11161943609892018
Motor current axis 1 (A),0.10257904406802565,0.10257904406802565
"Wind direction, Minimum (°)",0.09002511817713332,0.09002511817713332
Nacelle ambient temperature (°C),-0.08607117069606401,0.08607117069606401
"Nacelle temperature, Standard deviation (°C)",-0.08554756722718078,0.08554756722718078
Cable windings from calibration point,-0.082120098501813,0.082120098501813
Wind direction (°),0.07682058902976215,0.07682058902976215
"Voltage L1 / U, Max (V)",-0.07422335698595864,0.07422335698595864
Temperature motor axis 1 (°C),-0.06981796773322874,0.06981796773322874
"Front bearing temperature, Standard deviation (°C)",0.06639381259080193,0.06639381259080193
"Nacelle position, Standard deviation (°)",0.05627707882015858,0.05627707882015858
"Wind direction, Standard deviation (°)",-0.04350514061145349,0.04350514061145349
"Generator bearing front temperature, Std (°C)",-0.03604864088009324,0.03604864088009324
Metal particle count,0.01960299037349359,0.01960299037349359
"Grid frequency, Min (Hz)",-0.016670902274668952,0.016670902274668952
"Hub temperature, standard deviation (°C)",0.010711331120821913,0.010711331120821913
Vane position 1+2 (°),0.009464014421347,0.009464014421347
Grid frequency (Hz),-0.0050921256577500466,0.0050921256577500466
"Grid frequency, Max (Hz)",0.004639663522050776,0.004639663522050776
"Grid frequency, Standard deviation (Hz)",0.0003064234278450742,0.0003064234278450742
