feature,pearson_corr_with_target,abs_corr_with_target
Wind speed (m/s),0.9625045618792202,0.9625045618792202
Transformer temperature (°C),0.7298376799311626,0.7298376799311626
Front bearing temperature (°C),0.7247348550297045,0.7247348550297045
Gear oil inlet temperature (°C),-0.6915961391306272,0.6915961391306272
"Current L2 / V, max (A)",0.6636301666433019,0.6636301666433019
Power factor (cosphi),-0.6488106117142007,0.6488106117142007
"Wind speed, Standard deviation (m/s)",0.6235121621426445,0.6235121621426445
Tower Acceleration y (mm/ss),0.6128470695085605,0.6128470695085605
"Reactive power, Standard deviation (kvar)",0.5958476767291474,0.5958476767291474
"Power factor (cosphi), Min",-0.5645248974239425,0.5645248974239425
Nacelle temperature (°C),-0.5159711374014242,0.5159711374014242
Generator bearing front temperature (°C),-0.4540076732874522,0.4540076732874522
Temp. top box (°C),-0.4224414311130542,0.4224414311130542
Rear bearing temperature (°C),0.3886395340636668,0.3886395340636668
"Generator RPM, Standard deviation (RPM)",0.37460898477677895,0.37460898477677895
Stator temperature 1 (°C),0.37090940297890773,0.37090940297890773
Gear oil temperature (°C),-0.3608289221034626,0.3608289221034626
"Blade angle (pitch position) A, Min (°)",-0.3244706199891706,0.3244706199891706
Blade angle (pitch position) A (°),-0.3107492089397823,0.3107492089397823
Generator bearing rear temperature (°C),-0.29158281506594047,0.29158281506594047
"Gear oil temperature, Max (°C)",-0.25761451536373325,0.25761451536373325
"Generator bearing rear temperature, Std (°C)",-0.22919556646170758,0.22919556646170758
Voltage L1 / U (V),-0.21616423219769465,0.21616423219769465
"Gear oil temperature, Standard deviation (°C)",0.18620098140270905,0.18620098140270905
Tower Acceleration X (mm/ss),0.17868004251656602,0.17868004251656602
"Voltage L1 / U, Min (V)",-0.17146321692384056,0.17146321692384056
"Blade angle (pitch position) A, Max (°)",0.17082963762261658,0.17082963762261658
Long Term Wind (m/s),0.16664347557604864,0.16664347557604864
"Grid voltage, Standard deviation (V)",0.14125625439447725,0.14125625439447725
"Voltage L1 / U, Standard deviation (V)",0.12078176596193227,0.12078176596193227
"Hub temperature, min (°C)",-0.11161943609892018,0.11161943609892018
Motor current axis 1 (A),0.10257904406802565,0.10257904406802565
