Date and time,Wind speed (m/s),Power (kW),Rotor speed (RPM),Blade angle (pitch position) A (°),Gear oil temperature (°C)
2019-01-01 00:00:00,4.454060077667236,191.8148956298828,8.880422592163086,0.0744928196072578,57.30249786376953
2019-01-01 00:10:00,4.3314361572265625,189.52496337890625,8.859600067138672,0.0624989531934261,57.11750030517578
2019-01-01 00:20:00,5.44720983505249,381.1446533203125,10.60137939453125,0.0,57.75249862670898
2019-01-01 00:30:00,5.472899913787842,422.7175903320313,10.916513442993164,0.0,58.84249877929688
2019-01-01 00:40:00,5.601278305053711,307.5186462402344,9.99733829498291,0.0,59.025001525878906
2019-01-01 00:50:00,3.7735402584075928,100.5327377319336,8.298340797424316,0.4439972341060638,58.587501525878906
2019-01-01 01:00:00,3.018362283706665,51.613712310791016,8.184303283691406,0.9355024695396424,58.10749816894531
2019-01-01 01:10:00,4.559439659118652,152.6402587890625,8.507152557373047,0.0984979420900344,57.94499969482422
2019-01-01 01:20:00,4.857219219207764,188.5838165283203,8.774226188659668,0.0,58.19249725341797
2019-01-01 01:30:00,4.413129806518555,154.42384338378906,8.499873161315918,0.0734994709491729,58.23250198364258
2019-01-01 01:40:00,4.881299018859863,262.38299560546875,9.538818359375,0.0544439852237701,57.84444427490234
2019-01-01 01:50:00,5.285938739776611,347.3634948730469,10.314854621887209,0.0,58.45750045776367
2019-01-01 02:00:00,5.554277896881104,394.7097473144531,10.733819007873535,0.0,58.875
2019-01-01 02:10:00,6.058027267456055,446.34619140625,11.17200756072998,0.0,59.497501373291016
2019-01-01 02:20:00,5.99040412902832,442.9427490234375,11.085430145263672,0.0,59.20249938964844
2019-01-01 02:30:00,6.3773579597473145,579.5022583007812,12.06793975830078,0.0,56.17000198364258
2019-01-01 02:40:00,6.13346529006958,525.5716552734375,11.738028526306152,0.0,58.67250061035156
2019-01-01 02:50:00,5.797168254852295,446.3248596191406,11.200397491455078,0.0,59.48250198364258
2019-01-01 03:00:00,6.160399436950684,468.3272399902344,11.343313217163086,0.0,59.45500183105469
2019-01-01 03:10:00,7.206181526184082,755.1532592773438,13.088045120239258,0.0,55.49473571777344
2019-01-01 03:20:00,7.566638946533203,855.787841796875,13.652780532836914,0.0,53.89249801635742
2019-01-01 03:30:00,7.509039402008057,883.3245239257812,13.730868339538574,0.0,52.747501373291016
2019-01-01 03:40:00,8.243352890014648,1053.337646484375,14.413811683654783,0.0,52.07749938964844
2019-01-01 03:50:00,8.636363983154297,1441.23779296875,15.132972717285156,0.0,52.48235321044922
2019-01-01 04:00:00,8.37674331665039,1329.7037353515625,15.125455856323242,0.0,51.880001068115234
2019-01-01 04:10:00,9.144766807556152,1585.042236328125,15.171660423278809,0.0,51.24500274658203
2019-01-01 04:20:00,9.717679977416992,1898.1207275390625,15.140192031860352,0.6439792513847351,51.13750076293945
2019-01-01 04:30:00,10.083658218383787,1879.49462890625,15.154800415039062,1.147936463356018,51.30750274658203
2019-01-01 04:40:00,8.156926155090332,1184.46533203125,14.740352630615234,0.0,50.22999954223633
2019-01-01 04:50:00,7.198767185211182,895.8023071289062,13.852388381958008,0.0,48.68000030517578
2019-01-01 05:00:00,6.404366493225098,618.0340576171875,12.305232048034668,0.0,48.63500213623047
2019-01-01 05:10:00,5.0390944480896,301.1007385253906,9.89389991760254,0.0,50.212501525878906
2019-01-01 05:20:00,5.565601348876953,410.68157958984375,10.798391342163086,0.0,51.372501373291016
2019-01-01 05:30:00,7.173002243041992,875.7515869140625,13.487991333007812,0.0,53.22249984741211
2019-01-01 05:40:00,8.100106239318848,1192.8204345703125,14.664871215820312,0.0084999892860651,52.625
2019-01-01 05:50:00,7.514775276184082,834.7362060546875,13.490538597106934,0.0,50.7599983215332
2019-01-01 06:00:00,6.955004692077637,810.3585205078125,13.408339500427246,0.0,53.040000915527344
2019-01-01 06:10:00,6.840213775634766,712.1344604492188,12.790159225463867,0.0,51.36000061035156
2019-01-01 06:20:00,6.11857795715332,615.4853515625,12.135726928710938,0.0,52.8125
2019-01-01 06:30:00,6.042527675628662,454.8042907714844,11.034608840942385,0.0,54.51250076293945
2019-01-01 06:40:00,6.105825901031494,524.4528198242188,11.66983413696289,0.0,55.3650016784668
2019-01-01 06:50:00,6.079281330108643,485.6670837402344,11.388922691345217,0.0,56.040000915527344
2019-01-01 07:00:00,6.6004791259765625,634.1483764648438,12.421637535095217,0.0,55.369998931884766
2019-01-01 07:10:00,6.436553955078125,550.5484619140625,11.883305549621582,0.0,54.977500915527344
2019-01-01 07:20:00,6.597360610961914,666.3151245117188,12.61160659790039,0.0,56.692501068115234
